Country ,Total,Total without GHCS-State,GHCS- USAID,GHCS- STATE,DA,ESF,AEECA,INCLE,NADR,PKO,IMET,FMF,MRA,PL 480,Other*,Fiscal Year
USAID Southern Africa Regional,"12,967","12,967","1,984",-,"10,983",-,-,-,-,-,-,-,-,-,-,2008
USAID West Africa Regional,"35,194","35,194","11,868",-,"23,326",-,-,-,-,-,-,-,-,-,-,2008
East Asia and Pacific,"673,249","581,759","105,221","91,490","155,051","230,593",-,"10,217","25,717",-,"6,740","43,495",-,"4,725",-,2008
Burma,"19,270","19,270","2,083",-,717,"12,895",-,-,-,-,-,-,-,"3,575",-,2008
Cambodia,"58,186","55,686","28,322","2,500","8,087","14,920",-,-,"4,060",-,99,198,-,-,-,2008
China,"21,839","19,839","4,960","2,000","9,919","4,960",-,-,-,-,-,-,-,-,-,2008
Indonesia,"186,590","186,340","25,737",250,"70,953","64,474",-,"6,150","5,117",-,"1,037","12,872",-,-,-,2008
Laos,"5,877","5,877",992,-,-,298,-,"1,567","2,953",-,67,-,-,-,-,2008
Malaysia,"2,156","2,156",-,-,-,-,-,-,"1,254",-,902,-,-,-,-,2008
Marshall Islands,46,46,-,-,-,-,-,-,-,-,46,-,-,-,-,2008
Mongolia,"6,733","6,733",-,-,"4,797",-,-,-,-,-,943,993,-,-,-,2008
North Korea,"53,000","53,000",-,-,-,"53,000",-,-,-,-,-,-,-,-,-,2008
Papua New Guinea,"2,731","2,731","2,480",-,-,-,-,-,-,-,251,-,-,-,-,2008
Philippines,"114,699","114,699","24,967",-,"27,321","27,773",-,794,"4,562",-,"1,525","27,757",-,-,-,2008
Samoa,18,18,-,-,-,-,-,-,-,-,18,-,-,-,-,2008
Singapore,725,725,-,-,-,-,-,-,725,-,-,-,-,-,-,2008
Solomon Islands,58,58,-,-,-,-,-,-,-,-,58,-,-,-,-,2008
Taiwan,635,635,-,-,-,-,-,-,635,-,-,-,-,-,-,2008
Thailand,"7,286","6,786",992,500,-,-,-,"1,686","2,483",-,"1,202",423,-,-,-,2008
Timor-Leste,"24,188","24,188","1,000",-,"5,000","16,862",-,20,-,-,156,-,-,"1,150",-,2008
Tonga,655,655,-,-,-,-,-,-,-,-,157,498,-,-,-,2008
Vanuatu,93,93,-,-,-,-,-,-,-,-,93,-,-,-,-,2008
Vietnam,"102,294","16,294",-,"86,000","2,420","10,613",-,-,"3,075",-,186,-,-,-,-,2008
State East Asia and Pacific  Regional,"26,405","26,405",-,-,-,"24,798",-,-,853,-,-,754,-,-,-,2008
USAID Regional Development,,,,,,,,,,,,,,,,2008
Mission-Asia (RDM/A),"39,765","39,525","13,688",240,"25,837",-,-,-,-,-,-,-,-,-,-,2008
Europe and Eurasia,"792,434","788,434","11,960","4,000",-,"31,742","607,500",298,"20,753",-,"25,305","90,876",-,-,-,2008
Albania,"24,101","24,101",500,-,-,-,"17,717",-,"3,125",-,644,"2,115",-,-,-,2008
Armenia,"62,634","62,634",500,-,-,-,"58,026",-,600,-,532,"2,976",-,-,-,2008
Azerbaijan,"26,841","26,841","1,990",-,-,-,"18,846",-,"2,077",-,952,"2,976",-,-,-,2008
Belarus,"10,192","10,192",-,-,-,-,"10,192",-,-,-,-,-,-,-,-,2008
Bosnia and Herzegovina,"33,286","33,286",-,-,-,-,"27,773",-,"1,243",-,978,"3,292",-,-,-,2008
Bulgaria,"8,541","8,541",-,-,-,-,-,-,300,-,"1,657","6,584",-,-,-,2008
Croatia,904,904,-,-,-,-,-,-,595,-,309,-,-,-,-,2008
Cyprus,"10,911","10,911",-,-,-,"10,911",-,-,-,-,-,-,-,-,-,2008
Czech Republic,"4,446","4,446",-,-,-,-,-,-,-,-,"1,601","2,845",-,-,-,2008
Estonia,"2,573","2,573",-,-,-,-,-,-,-,-,"1,068","1,505",-,-,-,2008
Georgia,"63,850","63,850",750,-,-,-,"50,091",-,"3,210",-,799,"9,000",-,-,-,2008
Greece,443,443,-,-,-,-,-,-,-,-,443,-,-,-,-,2008
Hungary,"2,142","2,142",-,-,-,-,-,-,-,-,"1,202",940,-,-,-,2008
Ireland,"15,871","15,871",-,-,-,"15,871",-,-,-,-,-,-,-,-,-,2008
Kosovo,"147,148","147,148",-,-,-,-,"146,301",-,500,-,347,-,-,-,-,2008
Latvia,"2,545","2,545",-,-,-,-,-,-,-,-,"1,040","1,505",-,-,-,2008
Lithuania,"2,636","2,636",-,-,-,-,-,-,-,-,"1,131","1,505",-,-,-,2008
Macedonia,"26,128","26,128",-,-,-,-,"21,822",-,932,-,552,"2,822",-,-,-,2008
Malta,54,54,-,-,-,-,-,-,-,-,54,-,-,-,-,2008
Moldova,"15,296","15,296",-,-,-,-,"14,184",-,-,-,642,470,-,-,-,2008
Montenegro,"9,307","9,307",-,-,-,-,"8,435",-,777,-,95,-,-,-,-,2008
Poland,"29,053","29,053",-,-,-,-,-,-,-,-,"2,073","26,980",-,-,-,2008
Portugal,439,439,-,-,-,-,-,-,-,-,439,-,-,-,-,2008
Romania,"12,808","12,808",-,-,-,-,-,-,-,-,"1,711","11,097",-,-,-,2008
Russia,"81,030","77,530","4,296","3,500",-,-,"71,640",-,"1,500",-,94,-,-,-,-,2008
Serbia,"52,687","52,687",-,-,-,-,"51,563",-,855,-,269,-,-,-,-,2008
Slovakia,"2,112","2,112",-,-,-,-,-,-,-,-,"1,077","1,035",-,-,-,2008
Slovenia,"1,219","1,219",-,-,-,-,-,-,-,-,843,376,-,-,-,2008
Turkey,"12,437","12,437",-,-,-,-,-,298,"2,443",-,"2,879","6,817",-,-,-,2008
Ukraine,"84,810","84,310","1,891",500,-,-,"72,409",-,"2,100",-,"1,874","6,036",-,-,-,2008
Eurasia Regional,"24,213","24,213","2,033",-,-,"3,125","18,559",-,496,-,-,-,-,-,-,2008
Europe Regional,"21,777","21,777",-,-,-,"1,835","19,942",-,-,-,-,-,-,-,-,2008
Near East,"5,299,251","5,299,251","2,883",-,"17,914","1,138,261",-,"12,356","57,648","24,798","12,801","3,999,955",-,"32,635",-,2008
Algeria,"1,611","1,611",-,-,-,400,-,198,317,-,696,-,-,-,-,2008
Bahrain,"5,334","5,334",-,-,-,-,-,-,744,-,622,"3,968",-,-,-,2008
Egypt,"1,705,225","1,705,225",-,-,-,"411,639",-,"1,984",895,-,"1,237","1,289,470",-,-,-,2008
Iran,"21,623","21,623",-,-,-,"21,623",-,-,-,-,-,-,-,-,-,2008
Iraq,"49,116","49,116",-,-,-,"4,960",-,-,"20,363",-,31,-,-,"23,762",-,2008
Israel,"2,380,560","2,380,560",-,-,-,-,-,-,-,-,-,"2,380,560",-,-,-,2008
Jordan,"687,792","687,792",-,-,-,"361,412",-,"1,488","23,571",-,"2,941","298,380",-,-,-,2008
Lebanon,"58,297","58,297",-,-,-,"44,636",-,496,"4,745",-,"1,477","6,943",-,-,-,2008
Libya,"1,000","1,000",-,-,-,-,-,-,"1,000",-,-,-,-,-,-,2008
Morocco,"26,463","26,463",-,-,"4,136","15,374",-,496,"1,119",-,"1,713","3,625",-,-,-,2008
Oman,"7,733","7,733",-,-,-,-,-,-,"1,593",-,"1,428","4,712",-,-,-,2008
Qatar,268,268,-,-,-,-,-,-,268,-,-,-,-,-,-,2008
Saudi Arabia,99,99,-,-,-,-,-,-,99,-,-,-,-,-,-,2008
Syria,"8,366","8,366",-,-,-,-,-,-,-,-,-,-,-,"8,366",-,2008
Tunisia,"11,554","11,554",-,-,-,"1,200",-,198,100,-,"1,711","8,345",-,-,-,2008
United Arab Emirates,300,300,-,-,-,-,-,-,300,-,-,-,-,-,-,2008
West Bank and Gaza,"224,986","224,986",-,-,-,"217,986",-,"7,000",-,-,-,-,-,-,-,2008
Yemen,"17,730","17,730","2,883",-,"4,913","1,500",-,496,"2,534",-,945,"3,952",-,507,-,2008
MERC - (Middle East Regional Cooperation) and MEM (Middle East Multilaterals),,,,,,,,,,,,,,,,2008
,,,,,,,,,,,,,,,,2008
,"4,960","4,960",-,-,-,"4,960",-,-,-,-,-,-,-,-,-,2008
Middle East Partnership Initiative,,,,,,,,,,,,,,,,2008
(MEPI),"49,595","49,595",-,-,-,"49,595",-,-,-,-,-,-,-,-,-,2008
Multilateral Force and Observers,,,,,,,,,,,,,,,,2008
(MFO),"24,798","24,798",-,-,-,-,-,-,-,"24,798",-,-,-,-,-,2008
USAID Middle East Regional  (OMEP),"11,841","11,841",-,-,"8,865","2,976",-,-,-,-,-,-,-,-,-,2008
South and Central Asia,"2,295,461","2,288,961","214,060","6,500","241,222","897,810","82,550","294,644","52,279",-,"10,402","300,719",-,"195,275",-,2008
Afghanistan,"1,118,106","1,117,606","63,017",500,"148,651","540,502",-,"272,574","23,096",-,"1,660",-,-,"68,106",-,2008
Bangladesh,"150,857","150,857","37,381",-,"29,190",-,-,198,"4,813",-,821,595,-,"77,859",-,2008
India,"99,007","93,007","59,939","6,000","16,547",-,-,-,"1,692",-,"1,345",-,-,"13,484",-,2008
Kazakhstan,"21,101","21,101",893,-,-,-,"14,879",-,"2,992",-,998,"1,339",-,-,-,2008
Kyrgyz Republic,"29,964","29,964",595,-,-,-,"25,046",-,"2,488",-,992,843,-,-,-,2008
Maldives,169,169,-,-,-,-,-,-,-,-,169,-,-,-,-,2008
Nepal,"51,938","51,938","19,891",-,"9,136","9,423",-,30,"1,242",-,869,-,-,"11,347",-,2008
Pakistan,"740,535","740,535","29,816",-,"29,757","347,165",-,"21,822","9,725",-,"2,129","297,570",-,"2,551",-,2008
Sri Lanka,"28,266","28,266",-,-,"5,241",-,-,20,647,-,603,-,-,"21,755",-,2008
Tajikistan,"31,255","31,255","1,239",-,-,-,"25,789",-,"3,164",-,518,372,-,173,-,2008
Turkmenistan,"7,200","7,200",397,-,-,-,"5,455",-,"1,050",-,298,-,-,-,-,2008
Uzbekistan,"9,497","9,497",892,-,-,-,"8,405",-,200,-,-,-,-,-,-,2008
Central Asia Regional,"2,976","2,976",-,-,-,-,"2,976",-,-,-,-,-,-,-,-,2008
State South and Central Asia Regional,,,,,,,,,,,,,,,,2008
,"1,890","1,890",-,-,-,720,-,-,"1,170",-,-,-,-,-,-,2008
USAID South Asia Regional,"2,700","2,700",-,-,"2,700",-,-,-,-,-,-,-,-,-,-,2008
Western Hemisphere,"1,566,185","1,421,211","134,201","144,974","247,305","409,213",-,"410,091","10,145",-,"11,609","64,639",-,"134,008",-,2008
Argentina,"1,973","1,973",-,-,-,-,-,198,871,-,904,-,-,-,-,2008
Belize,236,216,-,20,-,-,-,-,-,-,216,-,-,-,-,2008
Bolivia,"99,734","99,734","16,936",-,"26,618","16,862",-,"30,154",-,-,179,-,-,"8,985",-,2008
Brazil,"15,349","14,349","3,200","1,000","9,983",-,-,992,-,-,174,-,-,-,-,2008
Chile,"1,386","1,386",-,-,-,-,-,99,737,-,550,-,-,-,-,2008
Colombia,"547,861","547,861",-,-,-,"194,412",-,"289,005","3,288",-,"1,421","52,570",-,"7,165",-,2008
Costa Rica,172,172,-,-,-,-,-,-,-,-,172,-,-,-,-,2008
Cuba,"45,330","45,330",-,-,-,"45,330",-,-,-,-,-,-,-,-,-,2008
Dominican Republic,"47,687","36,187","10,411","11,500","11,003","12,399",-,992,436,-,946,-,-,-,-,2008
Eastern Caribbean,"1,579","1,579",-,-,-,-,-,496,496,-,587,-,-,-,-,2008
Ecuador,"25,200","25,200","2,000",-,"9,855","5,951",-,"7,042",174,-,178,-,-,-,-,2008
El Salvador,"31,490","31,470","8,425",20,"15,051",-,-,744,-,-,"1,619","5,631",-,-,-,2008
Guatemala,"62,933","62,933","14,623",-,"18,067","11,903",-,"3,472",-,-,491,496,-,"13,881",-,2008
Guyana,"24,018","4,018",-,"20,000","3,750",-,-,-,-,-,268,-,-,-,-,2008
Haiti,"279,542","187,542","19,805","92,000","15,196","62,881",-,"8,927",-,-,182,982,-,"79,569",-,2008
Honduras,"40,510","39,510","12,035","1,000","15,149",-,-,744,-,-,936,496,-,"10,150",-,2008
Jamaica,"13,393","13,093","1,190",300,"9,690",-,-,992,471,-,750,-,-,-,-,2008
Mexico,"53,854","53,854","2,678",-,"8,215","14,703",-,"26,553","1,348",-,357,-,-,-,-,2008
Nicaragua,"38,266","37,766","7,753",500,"13,804",-,-,972,-,-,483,496,-,"14,258",-,2008
Panama,"3,652","3,652",-,-,"2,000",-,-,992,498,-,162,-,-,-,-,2008
Paraguay,"9,761","9,761","2,100",-,"6,759",-,-,278,433,-,191,-,-,-,-,2008
Peru,"90,997","90,977","12,785",20,"11,611","29,757",-,"36,546",109,-,169,-,-,-,-,2008
Suriname,150,150,-,-,-,-,-,-,-,-,150,-,-,-,-,2008
The Bahamas,"1,083","1,083",-,-,-,-,-,496,401,-,186,-,-,-,-,2008
Trinidad and Tobago,"1,380","1,380",-,-,-,-,-,397,883,-,100,-,-,-,-,2008
Uruguay,238,238,-,-,-,-,-,-,-,-,238,-,-,-,-,2008
Venezuela,"9,495","9,495",-,-,"6,519","2,976",-,-,-,-,-,-,-,-,-,2008
State Western Hemisphere  Regional,"16,007","16,007",-,-,-,"12,039",-,-,-,-,-,"3,968",-,-,-,2008
USAID Caribbean Regional,"28,010","9,810","5,703","18,200","4,107",-,-,-,-,-,-,-,-,-,-,2008
USAID Central America Regional,"11,853","11,439","3,374",414,"8,065",-,-,-,-,-,-,-,-,-,-,2008
USAID Latin America and  Caribbean,,,,,,,,,,,,,,,,2008
Regional,"61,062","61,062","11,183",-,"49,879",-,-,-,-,-,-,-,-,-,-,2008
USAID South America Regional,"1,984","1,984",-,-,"1,984",-,-,-,-,-,-,-,-,-,-,2008
Asia Middle East Regional,"21,179","21,179","4,682",-,"16,497",-,-,-,-,-,-,-,-,-,-,2008
Asia Middle East Regional,"21,179","21,179","4,682",-,"16,497",-,-,-,-,-,-,-,-,-,-,2008
"Democracy, Conflict, and Humanitarian  Assistance (DCHA)",,,,,,,,,,,,,,,,2008
,"325,985","325,985","13,044",-,"83,335","39,395",-,-,-,-,-,-,-,"-284,164","474,375",2008
"Democracy, Conflict, and",,,,,,,,,,,,,,,,2008
Humanitarian Assistance,"325,985","325,985","13,044",-,"83,335","39,395",-,-,-,-,-,-,-,"-284,164","474,375",2008
"Democracy, Human Rights  and",,,,,,,,,,,,,,,,2008
Labor (DRL),"167,890","167,890",-,-,-,"5,218",-,-,-,-,-,-,-,-,"162,672",2008
,,,,,,,,,,,,,,,,2008
"Democracy, Human Rights and  Labor","167,890","167,890",-,-,-,"5,218",-,-,-,-,-,-,-,-,"162,672",2008
Economic Growth Agriculture  and,,,,,,,,,,,,,,,,2008
Trade (EGAT),"158,538","158,538",-,-,"148,538",-,-,-,-,-,-,-,-,"10,000",-,2008
"Economic Growth, Agriculture  and",,,,,,,,,,,,,,,,2008
Trade,"158,538","158,538",-,-,"148,538",-,-,-,-,-,-,-,-,"10,000",-,2008
Office to Monitor and Combat,,,,,,,,,,,,,,,,2008
Trafficking In Persons,"17,854","17,854",-,-,-,"11,903",-,"5,951",-,-,-,-,-,-,-,2008
State Office to Monitor and  Combat,,,,,,,,,,,,,,,,2008
Trafficking in Persons (G/TIP),"17,854","17,854",-,-,-,"11,903",-,"5,951",-,-,-,-,-,-,-,2008
Global Health,"290,000","290,000","290,000",-,-,-,-,-,-,-,-,-,-,-,-,2008
Global Health - Core,"290,000","290,000","290,000",-,-,-,-,-,-,-,-,-,-,-,-,2008
Global Health - International,,,,,,,,,,,,,,,,2008
Partnerships,"313,971","313,971","313,971",-,-,-,-,-,-,-,-,-,-,-,-,2008
Global Health - International,,,,,,,,,,,,,,,,2008
Partnerships,"313,971","313,971","313,971",-,-,-,-,-,-,-,-,-,-,-,-,2008
International Narcotics and  Law,,,,,,,,,,,,,,,,2008
Enforcement Affairs,"123,534","123,534",-,-,-,-,-,"123,534",-,-,-,-,-,-,-,2008
International Narcotics and Law,,,,,,,,,,,,,,,,2008
Enforcement Affairs (INL),"123,534","123,534",-,-,-,-,-,"123,534",-,-,-,-,-,-,-,2008
International Organizations,"309,954","309,954",-,-,-,-,-,-,-,-,-,-,-,-,"309,954",2008
International Organizations &,,,,,,,,,,,,,,,,2008
Programs (IO&P),"309,954","309,954",-,-,-,-,-,-,-,-,-,-,-,-,"309,954",2008
International Security and,,,,,,,,,,,,,,,,2008
Nonproliferation,"183,506","183,506",-,-,-,-,-,-,"183,506",-,-,-,-,-,-,2008
International Security and,,,,,,,,,,,,,,,,2008
Nonproliferation (ISN),"183,506","183,506",-,-,-,-,-,-,"183,506",-,-,-,-,-,-,2008
,,,,,,,,,,,,,,,,2008
,,,,,,,,,,,,,,,,2008
Office of Development  Partners,"53,272","53,272",-,-,"28,474","24,798",-,-,-,-,-,-,-,-,-,2008
Office of Development Partners,,,,,,,,,,,,,,,,2008
(ODP),"53,272","53,272",-,-,"28,474","24,798",-,-,-,-,-,-,-,-,-,2008
,,,,,,,,,,,,,,,,2008
Oceans and International Environmental and Scientific  Affairs,,,,,,,,,,,,,,,,2008
,"17,656","17,656",-,-,-,"17,656",-,-,-,-,-,-,-,-,-,2008
Oceans and International Environmental and Scientific Affairs (OES),,,,,,,,,,,,,,,,2008
,,,,,,,,,,,,,,,,2008
,"17,656","17,656",-,-,-,"17,656",-,-,-,-,-,-,-,-,-,2008
Political-Military Affairs,"207,394","207,394",-,-,-,-,-,-,"54,927","106,361","4,545","41,561",-,-,-,2008
Political-Military Affairs,"207,394","207,394",-,-,-,-,-,-,"54,927","106,361","4,545","41,561",-,-,-,2008
,,,,,,,,,,,,,,,,2008
"Population, Refugees, and  Migration","1,067,814","1,067,814",-,-,-,-,-,-,-,-,-,-,"1,023,178",-,"44,636",2008
"Population, Refugees, and  Migration",,,,,,,,,,,,,,,,2008
(PRM),"1,067,814","1,067,814",-,-,-,-,-,-,-,-,-,-,"1,023,178",-,"44,636",2008
Office of the Coordinator for,,,,,,,,,,,,,,,,2008
Counterterrorism,"50,568","50,568",-,-,-,-,-,-,"50,568",-,-,-,-,-,-,2008
State Coordinator for,,,,,,,,,,,,,,,,2008
Counterterrorism (CT),"50,568","50,568",-,-,-,-,-,-,"50,568",-,-,-,-,-,-,2008
Office of the Global AIDS  Coordinator,"1,119,416",-,-,"1,119,416",-,-,-,-,-,-,-,-,-,-,-,2008
Office of the Global AIDS,,,,,,,,,,,,,,,,2008
Coordinator (S/GAC),"1,119,416",-,-,"1,119,416",-,-,-,-,-,-,-,-,-,-,-,2008
USAID  Administrative Expenses,"783,730","783,730",-,-,-,-,-,-,-,-,-,-,-,-,"783,730",2008
USAID Capital Investment Fund,"87,287","87,287",-,-,-,-,-,-,-,-,-,-,-,-,"87,287",2008
USAID Development Credit  Authority,,,,,,,,,,,,,,,,2008
Admin,"8,094","8,094",-,-,-,-,-,-,-,-,-,-,-,-,"8,094",2008
USAID Inspector General  Operating,,,,,,,,,,,,,,,,2008
Expenses,"37,692","37,692",-,-,-,-,-,-,-,-,-,-,-,-,"37,692",2008
USAID Operating Expenses,"650,657","650,657",-,-,-,-,-,-,-,-,-,-,-,-,"650,657",2008
USAID Program Management Initiatives,,,,,,,,,,,,,,,,2008
,,,,,,,,,,,,,,,,2008
,"6,934","6,934",-,-,"6,934",-,-,-,-,-,-,-,-,-,-,2008
USAID Program Management,,,,,,,,,,,,,,,,2008
Initiatives,"6,934","6,934",-,-,"6,934",-,-,-,-,-,-,-,-,-,-,2008
Independent Agencies,"1,862,548","1,862,548",-,-,-,-,-,-,-,-,-,-,-,-,"1,862,548",2008
Peace Corps,"330,799","330,799",-,-,-,-,-,-,-,-,-,-,-,-,"330,799",2008
Millennium  Challenge Corporation,"1,544,388","1,544,388",-,-,-,-,-,-,-,-,-,-,-,-,"1,544,388",2008
Inter-American Foundation,"20,830","20,830",-,-,-,-,-,-,-,-,-,-,-,-,"20,830",2008
African Development Foundation,"29,757","29,757",-,-,-,-,-,-,-,-,-,-,-,-,"29,757",2008
Treasury Technical Assistance,"20,235","20,235",-,-,-,-,-,-,-,-,-,-,-,-,"20,235",2008
Debt Restructuring,"30,055","30,055",-,-,-,-,-,-,-,-,-,-,-,-,"30,055",2008
Export-Import Bank,992,992,-,-,-,-,-,-,-,-,-,-,-,-,992,2008
Overseas Private Investment,,,,,,,,,,,,,,,,2008
Corporation (OPIC),"-164,500","-164,500",-,-,-,-,-,-,-,-,-,-,-,-,"-164,500",2008
Trade and Development Agency,"49,992","49,992",-,-,-,-,-,-,-,-,-,-,-,-,"49,992",2008
,,,,,,,,,,,,,,,,2008
International  Financial Institutions,"1,277,289","1,277,289",-,-,-,-,-,-,-,-,-,-,-,-,"1,277,289",2008
Global Enviroment Facility (GEF),"81,101","81,101",-,-,-,-,-,-,-,-,-,-,-,-,"81,101",2008
International Clean Technology  Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
International Strategic Climate  Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
International  Development Association,"942,305","942,305",-,-,-,-,-,-,-,-,-,-,-,-,"942,305",2008
Enterprise for the Americas  Multilateral,,,,,,,,,,,,,,,,2008
Investment Fund,"24,798","24,798",-,-,-,-,-,-,-,-,-,-,-,-,"24,798",2008
Inter-American  Investment Corporation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
Asian Development Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
Asian Development Fund,"74,544","74,544",-,-,-,-,-,-,-,-,-,-,-,-,"74,544",2008
African Development Bank,"2,021","2,021",-,-,-,-,-,-,-,-,-,-,-,-,"2,021",2008
African Development Fund,"134,585","134,585",-,-,-,-,-,-,-,-,-,-,-,-,"134,585",2008
European Bank of Reconstruction and Development (EBRD) Trust Fund,,,,,,,,,,,,,,,,2008
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
European Bank of Reconstruction  and,,,,,,,,,,,,,,,,2008
Development,10,10,-,-,-,-,-,-,-,-,-,-,-,-,10,2008
International Fund for Agricultural,,,,,,,,,,,,,,,,2008
Development,"17,926","17,926",-,-,-,-,-,-,-,-,-,-,-,-,"17,926",2008
Multilateral  Investment Guarantee,,,,,,,,,,,,,,,,2008
Agency,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2008
