Country ,Total,Total without GHCS-State,GHCS- USAID,GHCS- STATE,DA,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,MRA,FFP,Other*,Fiscal Year
Southern Africa Regional,"17,713","17,713","2,000",-,"15,713",-,-,-,-,-,-,-,-,-,-,2009
West Africa Regional,"59,905","59,905","12,530",-,"47,000",375,-,-,-,-,-,-,-,-,-,2009
East Asia and Pacific,"664,801","566,855","115,396","97,946","205,500","153,100",-,"9,970","24,810","7,924","48,300",-,-,"1,855",-,2009
Burma,"17,100","17,100","2,100",-,-,"15,000",-,-,-,-,-,-,-,-,-,2009
Cambodia,"65,174","62,674","30,368","2,500","17,000","10,000",-,-,"4,200",106,"1,000",-,-,-,-,2009
China,"26,208","22,900","4,000","3,308","11,000","7,300",-,600,-,-,-,-,-,-,-,2009
Indonesia,"211,097","205,847","30,500","5,250","71,000","74,500",-,"6,150","6,450","1,547","15,700",-,-,-,-,2009
Laos,"5,007","5,007","1,000",-,"1,000",-,-,"1,000","1,900",107,-,-,-,-,-,2009
Malaysia,"2,597","2,597",-,-,-,500,-,-,"1,340",757,-,-,-,-,-,2009
Marshall Islands,59,59,-,-,-,-,-,-,-,59,-,-,-,-,-,2009
Mongolia,"9,763","9,763",-,-,"7,500",-,-,-,250,"1,013","1,000",-,-,-,-,2009
North Korea,"2,500","2,500",-,-,-,"2,500",-,-,-,-,-,-,-,-,-,2009
Papua New Guinea,"2,743","2,743","2,500",-,-,-,-,-,-,243,-,-,-,-,-,2009
Philippines,"123,735","123,735","27,175",-,"30,000","30,000",-,800,"4,175","1,730","28,000",-,-,"1,855",-,2009
Samoa,51,51,-,-,-,-,-,-,-,51,-,-,-,-,-,2009
Singapore,500,500,-,-,-,-,-,-,500,-,-,-,-,-,-,2009
Solomon Islands,74,74,-,-,-,-,-,-,-,74,-,-,-,-,-,2009
Taiwan,575,575,-,-,-,-,-,-,575,-,-,-,-,-,-,2009
Thailand,"15,659","15,159","1,000",500,"4,500","2,500",-,"1,400","2,700","1,459","1,600",-,-,-,-,2009
Timor-Leste,"24,301","24,301","1,000",-,"20,200","2,800",-,20,-,281,-,-,-,-,-,2009
Tonga,688,688,-,-,-,-,-,-,-,188,500,-,-,-,-,2009
Vanuatu,113,113,-,-,-,-,-,-,-,113,-,-,-,-,-,2009
Vietnam,"103,764","17,616",-,"86,148","15,000",-,-,-,"1,920",196,500,-,-,-,-,2009
East Asia and Pacific  Regional,"8,800","8,800",-,-,-,"8,000",-,-,800,-,-,-,-,-,-,2009
Regional Development Mission-Asia (RDM/A),,,,,,,,,,,,,,,,2009
,"44,293","44,053","15,753",240,"28,300",-,-,-,-,-,-,-,-,-,-,2009
Europe and Eurasia,"779,682","759,654","11,170","20,028",-,"38,500","569,867",300,"16,195","26,581","95,200",-,-,"1,841",-,2009
Albania,"23,030","23,030",-,-,-,-,"18,910",-,"1,070",950,"2,100",-,-,-,-,2009
Armenia,"52,357","52,357",400,-,-,-,"48,000",-,600,357,"3,000",-,-,-,-,2009
Azerbaijan,"25,835","25,835","1,246",-,-,-,"19,300",-,"1,300",989,"3,000",-,-,-,-,2009
Belarus,"11,500","11,500",-,-,-,-,"11,500",-,-,-,-,-,-,-,-,2009
Bosnia and Herzegovina,"35,383","35,383",-,-,-,-,"29,444",-,"1,400",939,"3,600",-,-,-,-,2009
Bulgaria,"9,103","9,103",-,-,-,-,-,-,-,"1,703","7,400",-,-,-,-,2009
Croatia,"2,110","2,110",-,-,-,-,-,-,500,610,"1,000",-,-,-,-,2009
Cyprus,"11,000","11,000",-,-,-,"11,000",-,-,-,-,-,-,-,-,-,2009
Czech Republic,"4,599","4,599",-,-,-,-,-,-,-,"1,599","3,000",-,-,-,-,2009
Estonia,"2,537","2,537",-,-,-,-,-,-,-,"1,037","1,500",-,-,-,-,2009
Georgia,"69,817","68,967",-,850,-,-,"52,000",-,"2,200","1,426","11,500",-,-,"1,841",-,2009
Greece,100,100,-,-,-,-,-,-,-,100,-,-,-,-,-,2009
Hungary,"2,129","2,129",-,-,-,-,-,-,-,"1,129","1,000",-,-,-,-,2009
Ireland,"15,000","15,000",-,-,-,"15,000",-,-,-,-,-,-,-,-,-,2009
Kosovo,"123,033","123,033",-,-,-,-,"120,100",-,795,638,"1,500",-,-,-,-,2009
Latvia,"2,482","2,482",-,-,-,-,-,-,-,982,"1,500",-,-,-,-,2009
Lithuania,"2,761","2,761",-,-,-,-,-,-,-,"1,061","1,700",-,-,-,-,2009
Macedonia,"23,315","23,315",-,-,-,-,"19,000",-,895,620,"2,800",-,-,-,-,2009
Malta,305,305,-,-,-,-,-,-,125,80,100,-,-,-,-,2009
Moldova,"15,674","15,674",-,-,-,-,"14,500",-,-,674,500,-,-,-,-,2009
Montenegro,"8,498","8,498",-,-,-,-,"7,000",-,550,148,800,-,-,-,-,2009
Poland,"29,220","29,220",-,-,-,-,-,-,-,"2,220","27,000",-,-,-,-,2009
Portugal,90,90,-,-,-,-,-,-,-,90,-,-,-,-,-,2009
Romania,"13,562","13,562",-,-,-,-,-,-,-,"1,562","12,000",-,-,-,-,2009
Russia,"70,146","65,146","4,296","5,000",-,-,"60,000",-,850,-,-,-,-,-,-,2009
Serbia,"49,187","49,187",-,-,-,-,"46,500",-,"1,000",887,800,-,-,-,-,2009
Slovakia,"2,026","2,026",-,-,-,-,-,-,-,"1,026","1,000",-,-,-,-,2009
Slovenia,"1,133","1,133",-,-,-,-,-,-,-,733,400,-,-,-,-,2009
Turkey,"15,418","15,418",-,-,-,"7,500",-,300,"3,410","3,208","1,000",-,-,-,-,2009
Ukraine,"99,382","85,204","3,191","14,178",-,-,"72,400",-,800,"1,813","7,000",-,-,-,-,2009
Eurasia Regional,"28,869","28,869","2,037",-,-,"3,000","23,132",-,700,-,-,-,-,-,-,2009
Europe Regional,"30,081","30,081",-,-,-,"2,000","28,081",-,-,-,-,-,-,-,-,2009
Near East,"4,906,968","4,906,968","3,000",-,"34,633","705,414",-,"35,000","52,900","14,339","4,006,655","25,000",-,"30,027",-,2009
Algeria,"8,678","8,678",-,-,400,-,-,-,500,898,-,-,-,"6,880",-,2009
Bahrain,"9,161","9,161",-,-,-,-,-,-,500,661,"8,000",-,-,-,-,2009
Egypt,"1,504,741","1,504,741",-,-,-,"200,000",-,"2,000","1,425","1,316","1,300,000",-,-,-,-,2009
Iraq,"20,000","20,000",-,-,-,-,-,-,"20,000",-,-,-,-,-,-,2009
Israel,"2,380,000","2,380,000",-,-,-,-,-,-,-,-,"2,380,000",-,-,-,-,2009
Jordan,"521,806","521,806",-,-,-,"263,547",-,"1,000","19,150","3,109","235,000",-,-,-,-,2009
Lebanon,"138,578","138,578",-,-,-,"67,500",-,"6,000","4,600","2,278","58,200",-,-,-,-,2009
Libya,"3,250","3,250",-,-,-,"2,500",-,-,750,-,-,-,-,-,-,2009
Morocco,"25,196","25,196",-,-,"18,000",-,-,"1,000",625,"1,916","3,655",-,-,-,-,2009
Oman,"9,400","9,400",-,-,-,-,-,-,950,"1,450","7,000",-,-,-,-,2009
Saudi Arabia,361,361,-,-,-,-,-,-,350,11,-,-,-,-,-,2009
Syria,"2,500","2,500",-,-,-,"2,500",-,-,-,-,-,-,-,-,-,2009
Tunisia,"14,600","14,600",-,-,-,800,-,-,100,"1,700","12,000",-,-,-,-,2009
United Arab Emirates,925,925,-,-,-,-,-,-,925,-,-,-,-,-,-,2009
West Bank and Gaza,"117,515","117,515",-,-,-,"71,800",-,"25,000",-,-,-,-,-,"20,715",-,2009
Yemen,"32,357","32,357","3,000",-,"11,233","9,767",-,-,"2,125","1,000","2,800",-,-,"2,432",-,2009
Middle East Multilaterals  (MEM),800,800,-,-,-,800,-,-,-,-,-,-,-,-,-,2009
Middle East Partnership Initiative  (MEPI),"50,000","50,000",-,-,-,"50,000",-,-,-,-,-,-,-,-,-,2009
Middle East Regional Cooperation  (MERC),"4,200","4,200",-,-,-,"4,200",-,-,-,-,-,-,-,-,-,2009
Multinational Force and Observers  (MFO),"25,000","25,000",-,-,-,-,-,-,-,-,-,"25,000",-,-,-,2009
Near East Regional  Democracy,"25,000","25,000",-,-,-,"25,000",-,-,-,-,-,-,-,-,-,2009
Trans-Sahara Counter-Terrorism Partnership (TSCTP),,,,,,,,,,,,,,,,2009
,"4,900","4,900",-,-,-,"4,000",-,-,900,-,-,-,-,-,-,2009
Middle East Regional  (OMEP),"8,000","8,000",-,-,"5,000","3,000",-,-,-,-,-,-,-,-,-,2009
South and Central Asia,"2,397,945","2,376,731","229,178","21,214","58,941","1,197,801","80,133","272,550","60,690","9,399","306,780",-,-,"161,259",-,2009
Afghanistan,"1,117,236","1,116,736","57,734",500,-,"732,000",-,"250,000","36,550","1,399",-,-,-,"39,053",-,2009
Bangladesh,"116,756","116,756","41,550",-,"40,000",-,-,200,"3,600",787,590,-,-,"30,029",-,2009
India,"103,480","97,030","69,500","6,450","11,000",-,-,-,"1,700","1,364",-,-,-,"13,466",-,2009
Kazakhstan,"22,422","21,822","1,064",600,-,-,"13,500",-,"1,900",858,"4,500",-,-,-,-,2009
Kyrgyz Republic,"28,932","28,457",795,475,-,-,"24,400",-,"1,590",872,800,-,-,-,-,2009
Maldives,145,145,-,-,-,-,-,-,-,145,-,-,-,-,-,2009
Nepal,"54,917","54,917","22,200",-,-,"22,151",-,330,700,743,-,-,-,"8,793",-,2009
Pakistan,"829,078","829,078","33,468",-,-,"425,000",-,"22,000","11,250","2,261","300,000",-,-,"35,099",-,2009
Sri Lanka,"49,058","49,058",-,-,"5,241","14,000",-,20,650,419,-,-,-,"28,728",-,2009
Tajikistan,"35,765","35,241","1,445",524,-,-,"25,233",-,"1,450",282,740,-,-,"6,091",-,2009
Turkmenistan,"8,851","8,776",607,75,-,-,"7,000",-,750,269,150,-,-,-,-,2009
Uzbekistan,"8,555","7,965",815,590,-,-,"7,000",-,150,-,-,-,-,-,-,2009
Central Asia Regional,"15,000","3,000",-,"12,000",-,-,"3,000",-,-,-,-,-,-,-,-,2009
South and Central Asia Regional  (SCA),"5,050","5,050",-,-,-,"4,650",-,-,400,-,-,-,-,-,-,2009
South Asia Regional,"2,700","2,700",-,-,"2,700",-,-,-,-,-,-,-,-,-,-,2009
Western Hemisphere,"2,007,242","1,830,494","127,788","176,748","357,622","396,350",-,"703,165","12,345","12,207","118,390",-,-,"102,627",-,2009
Argentina,"1,670","1,670",-,-,-,-,-,305,450,915,-,-,-,-,-,2009
Belize,487,467,-,20,-,-,-,-,-,267,200,-,-,-,-,2009
Bolivia,"85,941","85,941","16,836",-,"42,880",-,-,"26,000",-,225,-,-,-,-,-,2009
Brazil,"21,452","20,152","3,500","1,300","15,000",-,-,"1,000",400,252,-,-,-,-,-,2009
Chile,"1,225","1,225",-,-,-,-,-,-,300,525,400,-,-,-,-,2009
Colombia,"540,224","540,224",-,-,-,"196,500",-,"275,128","3,150","1,400","53,000",-,-,"11,046",-,2009
Costa Rica,364,364,-,-,-,-,-,-,-,364,-,-,-,-,-,2009
Cuba,"20,000","20,000",-,-,-,"20,000",-,-,-,-,-,-,-,-,-,2009
Dominican Republic,"51,811","40,811","10,339","11,000","24,600","1,100",-,"3,650",-,722,400,-,-,-,-,2009
Eastern Caribbean,"1,961","1,961",-,-,-,-,-,500,-,661,800,-,-,-,-,2009
Ecuador,"34,689","34,689",-,-,"26,585",-,-,"7,500",-,304,300,-,-,-,-,2009
El Salvador,"32,300","32,280","5,990",20,"21,196",-,-,-,-,"1,594","3,500",-,-,-,-,2009
Guatemala,"74,167","74,167","14,050",-,"29,000",-,-,"8,320",-,254,500,-,-,"22,043",-,2009
Guyana,"21,942","4,183",-,"17,759","3,750",-,-,-,-,283,150,-,-,-,-,2009
Haiti,"340,314","223,841","18,289","116,473",-,"121,250",-,"17,500",-,235,"2,800",-,-,"63,767",-,2009
Honduras,"40,232","39,232","11,750","1,000","21,382",-,-,-,-,329,-,-,-,"5,771",-,2009
Jamaica,"10,537","10,237","1,200",300,"6,804",-,-,"1,010",-,823,400,-,-,-,-,2009
Mexico,"318,779","318,779","2,900",-,"11,200","15,000",-,"246,000","3,845",834,"39,000",-,-,-,-,2009
Nicaragua,"26,535","25,638","6,400",897,"18,079",-,-,-,350,409,400,-,-,-,-,2009
Panama,"7,603","7,603",-,-,"4,000",-,-,"2,200",150,253,"1,000",-,-,-,-,2009
Paraguay,"12,798","12,798","2,100",-,"7,550","2,500",-,300,-,348,-,-,-,-,-,2009
Peru,"124,368","124,348","12,235",20,"63,293",-,-,"47,672",-,398,750,-,-,-,-,2009
Suriname,303,303,-,-,-,-,-,-,-,153,150,-,-,-,-,2009
The Bahamas,787,787,-,-,-,-,-,500,-,137,150,-,-,-,-,2009
Trinidad and Tobago,495,495,-,-,-,-,-,400,-,95,-,-,-,-,-,2009
Uruguay,427,427,-,-,-,-,-,-,-,427,-,-,-,-,-,2009
Venezuela,"5,500","5,500",-,-,-,"5,000",-,500,-,-,-,-,-,-,-,2009
Western Hemisphere Regional  (WHA),"117,870","117,870",-,-,-,"35,000",-,"64,680","3,700",-,"14,490",-,-,-,-,2009
Caribbean Regional,"29,659","11,459","5,750","18,200","5,709",-,-,-,-,-,-,-,-,-,-,2009
Central America Regional,"22,875","14,204","5,391","8,671","8,813",-,-,-,-,-,-,-,-,-,-,2009
Latin America and Caribbean Regional (LAC),,,,,,,,,,,,,,,,2009
,"52,777","51,689","5,408","1,088","46,281",-,-,-,-,-,-,-,-,-,-,2009
South America Regional,"7,150","7,150","5,650",-,"1,500",-,-,-,-,-,-,-,-,-,-,2009
Asia Middle East  Regional,"40,471","39,821","4,300",650,"35,521",-,-,-,-,-,-,-,-,-,-,2009
"Democracy, Conflict, and Humanitarian Assistance (DCHA)",,,,,,,,,,,,,,,,2009
,"526,527","526,527","13,000",-,"119,463","44,000",-,-,-,-,-,-,-,"-86,936","437,000",2009
(DRL),"79,000","79,000",-,-,-,-,-,-,-,-,-,-,-,-,"79,000",2009
Economic Growth Agriculture and Trade (EGAT),,,,,,,,,,,,,,,,2009
,"187,665","187,665",-,-,"177,665",-,-,-,-,-,-,-,-,"10,000",-,2009
Office to Monitor and Combat Trafficking In Persons,,,,,,,,,,,,,,,,2009
,"20,400","20,400",-,-,-,"12,000",-,"8,400",-,-,-,-,-,-,-,2009
Global Health,"304,614","304,614","304,614",-,-,-,-,-,-,-,-,-,-,-,-,2009
Global Health - International  Partnerships,"298,045","298,045","298,045",-,-,-,-,-,-,-,-,-,-,-,-,2009
International Narcotics and Law Enforcement  Affairs (INL),,,,,,,,,,,,,,,,2009
,"134,015","134,015",-,-,-,-,-,"134,015",-,-,-,-,-,-,-,2009
International  Organizations,"352,500","352,500",-,-,-,-,-,-,-,-,-,-,-,-,"352,500",2009
International Security and Nonproliferation (ISN),,,,,,,,,,,,,,,,2009
,"207,700","207,700",-,-,-,-,-,-,"207,700",-,-,-,-,-,-,2009
Office of Development Partners  (ODP),"67,900","67,900",-,-,"67,900",-,-,-,-,-,-,-,-,-,-,2009
Oceans and International Environmental and Scientific Affairs  (OES),,,,,,,,,,,,,,,,2009
,"48,725","48,725",-,-,-,"48,725",-,-,-,-,-,-,-,-,-,2009
Political-Military  Affairs (PM),"248,043","248,043",-,-,-,-,-,-,"70,462","5,211","51,420","120,950",-,-,-,2009
"Population, Refugees, and Migration  (PRM)","974,500","974,500",-,-,-,-,-,-,-,-,-,-,"934,500",-,"40,000",2009
Reserve,"4,700","4,700",-,-,-,"4,700",-,-,-,-,-,-,-,-,-,2009
Office of the Coordinator for Counterterrorism (S/CT),,,,,,,,,,,,,,,,2009
,"48,400","48,400",-,-,-,-,-,-,"48,400",-,-,-,-,-,-,2009
Office of the Global AIDS Coordinator (S/GAC),,,,,,,,,,,,,,,,2009
,"1,360,249",-,-,"1,360,249",-,-,-,-,-,-,-,-,-,-,-,2009
USAID  Administrative Expenses,"924,359","924,359",-,-,-,-,-,-,-,-,-,-,-,-,"924,359",2009
Civilian  Stabilization Initiative,"30,000","30,000",-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2009
USAID Capital Investment  Fund,"35,775","35,775",-,-,-,-,-,-,-,-,-,-,-,-,"35,775",2009
,,,,,,,,,,,,,,,,2009
USAID Development Credit Authority  Admin,"8,000","8,000",-,-,-,-,-,-,-,-,-,-,-,-,"8,000",2009
USAID Inspector General Operating Expense,,,,,,,,,,,,,,,,2009
,"42,000","42,000",-,-,-,-,-,-,-,-,-,-,-,-,"42,000",2009
USAID Operating Expense,"808,584","808,584",-,-,-,-,-,-,-,-,-,-,-,-,"808,584",2009
USAID  Program  Management Initiatives,"26,135","26,135",-,-,"26,135",-,-,-,-,-,-,-,-,-,-,2009
Independent Agencies,"1,055,800","1,055,800",-,-,-,-,-,-,-,-,-,-,-,-,"1,055,800",2009
Peace Corps,"340,000","340,000",-,-,-,-,-,-,-,-,-,-,-,-,"340,000",2009
Millenium  Challenge Corporation,"875,000","875,000",-,-,-,-,-,-,-,-,-,-,-,-,"875,000",2009
Inter-American  Foundation,"22,500","22,500",-,-,-,-,-,-,-,-,-,-,-,-,"22,500",2009
African  Development Foundation,"32,500","32,500",-,-,-,-,-,-,-,-,-,-,-,-,"32,500",2009
Treasury  Technical Assistance,"25,000","25,000",-,-,-,-,-,-,-,-,-,-,-,-,"25,000",2009
Debt Restructuring,"60,000","60,000",-,-,-,-,-,-,-,-,-,-,-,-,"60,000",2009
Export-Import Bank,"-177,000","-177,000",-,-,-,-,-,-,-,-,-,-,-,-,"-177,000",2009
Overseas Private Investment Corporation (OPIC),,,,,,,,,,,,,,,,2009
,"-173,000","-173,000",-,-,-,-,-,-,-,-,-,-,-,-,"-173,000",2009
Trade and Development  Agency,"50,800","50,800",-,-,-,-,-,-,-,-,-,-,-,-,"50,800",2009
International  Financial Institutions,"2,007,986","2,007,986",-,-,-,-,-,-,-,-,-,-,-,-,"2,007,986",2009
Global Environment Facility  (GEF),"80,000","80,000",-,-,-,-,-,-,-,-,-,-,-,-,"80,000",2009
International Clean Technology  Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
International Strategic Climate  Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
International  Development Association,"1,115,000","1,115,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,115,000",2009
Enterprise for the Americas Multilateral Investment Fund,,,,,,,,,,,,,,,,2009
,"25,000","25,000",-,-,-,-,-,-,-,-,-,-,-,-,"25,000",2009
Inter-American  Investment Corporation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
Asian Development Fund,"105,000","105,000",-,-,-,-,-,-,-,-,-,-,-,-,"105,000",2009
African Development Fund,"150,000","150,000",-,-,-,-,-,-,-,-,-,-,-,-,"150,000",2009
European Bank of Reconstruction and Development (EBRD) Trust  Fund,,,,,,,,,,,,,,,,2009
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
European Bank of Reconstruction and Development,,,,,,,,,,,,,,,,2009
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
International Fund for Agricultural Development,,,,,,,,,,,,,,,,2009
,"18,000","18,000",-,-,-,-,-,-,-,-,-,-,-,-,"18,000",2009
Multilateral  Investment  Guarantee Agency,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009
Asian Development Bank,"106,586","106,586",-,-,-,-,-,-,-,-,-,-,-,-,"106,586",2009
Global Food Security Fund,"408,400","408,400",-,-,-,-,-,-,-,-,-,-,-,-,"408,400",2009
,,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/138174.pdf,,,,,,,,,,,,,,,,
