Country,All Accounts,DA,GHP USAID,GHP STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,FFP,IDA,DF,Other**,Fiscal Year
Cambodia,"70,892","26,756","28,772","5,122","5,200",-,"4,090",452,500,-,-,-,-,-,-,2014
China,"12,300",-,-,"1,500","10,000",800,-,-,-,-,-,-,-,-,-,2014
Indonesia,"139,491","66,420","41,250",350,-,"10,066","5,550","1,855","14,000",-,-,-,-,-,-,2014
Laos,"16,336","2,750",-,-,-,"1,000","12,000",298,288,-,-,-,-,-,-,2014
Malaysia,"2,947",-,-,-,-,800,"1,270",877,-,-,-,-,-,-,-,2014
Marshall Islands,500,500,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
Micronesia,500,500,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
Mongolia,"8,465","5,000",-,-,-,-,240,825,"2,400",-,-,-,-,-,-,2014
Papua New Guinea,"6,445",-,"2,500","3,700",-,-,-,245,-,-,-,-,-,-,-,2014
Philippines,"196,643","87,682","32,500",-,-,"8,000","8,100","1,699","50,000",-,-,"8,662",-,-,-,2014
Samoa,30,-,-,-,-,-,-,30,-,-,-,-,-,-,-,2014
Singapore,240,-,-,-,-,-,240,-,-,-,-,-,-,-,-,2014
Thailand,"7,499","4,000",-,-,-,"1,466","1,320",713,-,-,-,-,-,-,-,2014
Timor-Leste,"9,843","6,500","2,000",-,-,660,-,383,300,-,-,-,-,-,-,2014
Tonga,250,-,-,-,-,-,-,250,-,-,-,-,-,-,-,2014
Vietnam,"105,641","21,395",-,"46,727","22,000",450,"4,070",999,"10,000",-,-,-,-,-,-,2014
State East Asia and Pacific Regional,"47,863",-,-,-,"25,148","8,990","13,725",-,-,-,-,-,-,-,-,2014
USAID Regional Development Mission-Asia (RDM/A),,,,,,,,,,,,,,,,2014
,"53,952","39,039","9,000","5,913",-,-,-,-,-,-,-,-,-,-,-,2014
Europe and Eurasia,"526,916",-,"9,000","12,015","324,567","43,798","19,215","29,819","88,502",-,-,-,-,-,-,2014
Albania,"16,562",-,-,-,"6,079","4,450","2,370","1,063","2,600",-,-,-,-,-,-,2014
Armenia,"27,550",-,-,-,"20,700","2,824",740,586,"2,700",-,-,-,-,-,-,2014
Azerbaijan,"14,273",-,-,-,"9,000","1,226",755,592,"2,700",-,-,-,-,-,-,2014
Belarus,"11,000",-,-,-,"11,000",-,-,-,-,-,-,-,-,-,-,2014
Bosnia and Herzegovina,"41,991",-,-,-,"25,554","6,735","4,220",982,"4,500",-,-,-,-,-,-,2014
Bulgaria,"9,313",-,-,-,-,-,250,"2,063","7,000",-,-,-,-,-,-,2014
Croatia,"4,535",-,-,-,-,-,900,"1,135","2,500",-,-,-,-,-,-,2014
Czech Republic,"4,800",-,-,-,-,-,-,"1,800","3,000",-,-,-,-,-,-,2014
Estonia,"3,611",-,-,-,-,-,-,"1,211","2,400",-,-,-,-,-,-,2014
Georgia,"58,388",-,-,-,"39,400","3,947","1,250","1,791","12,000",-,-,-,-,-,-,2014
Greece,97,-,-,-,-,-,-,97,-,-,-,-,-,-,-,2014
Hungary,"1,602",-,-,-,-,-,-,"1,152",450,-,-,-,-,-,-,2014
Kosovo,"54,035",-,-,-,"37,891","10,674",720,750,"4,000",-,-,-,-,-,-,2014
Latvia,"3,517",-,-,-,-,-,-,"1,267","2,250",-,-,-,-,-,-,2014
Lithuania,"3,774",-,-,-,-,-,-,"1,225","2,549",-,-,-,-,-,-,2014
Macedonia,"12,153",-,-,-,"5,207","1,786",490,"1,070","3,600",-,-,-,-,-,-,2014
Malta,147,-,-,-,-,-,-,147,-,-,-,-,-,-,-,2014
Moldova,"20,689",-,-,-,"15,050","3,230",380,779,"1,250",-,-,-,-,-,-,2014
Montenegro,"4,486",-,-,-,374,"1,826",490,596,"1,200",-,-,-,-,-,-,2014
Poland,"16,000",-,-,-,-,-,-,"2,000","14,000",-,-,-,-,-,-,2014
Portugal,81,-,-,-,-,-,-,81,-,-,-,-,-,-,-,2014
Romania,"9,737",-,-,-,-,-,-,"1,737","8,000",-,-,-,-,-,-,2014
Serbia,"22,965",-,-,-,"14,877","3,000","2,410",878,"1,800",-,-,-,-,-,-,2014
Slovakia,"1,347",-,-,-,-,-,-,897,450,-,-,-,-,-,-,2014
Slovenia,"1,167",-,-,-,-,-,-,717,450,-,-,-,-,-,-,2014
Turkey,"4,094",-,-,-,-,-,820,"3,274",-,-,-,-,-,-,-,2014
Ukraine,"88,057",-,"7,500","12,015","54,000","4,100","2,410","1,929","6,103",-,-,-,-,-,-,2014
Europe and Eurasia Regional,"66,695",-,"1,500",-,"61,185",-,"1,010",-,"3,000",-,-,-,-,-,-,2014
International Fund for Ireland,"1,250",-,-,-,"1,250",-,-,-,-,-,-,-,-,-,-,2014
Organization for Security and Cooperation in Europe (OSCE),,,,,,,,,,,,,,,,2014
,"23,000",-,-,-,"23,000",-,-,-,-,-,-,-,-,-,-,2014
Near East,"7,039,925",-,"9,000",-,"1,587,946","127,446","54,550","17,981","5,139,998","36,000",-,"67,004",-,-,-,2014
Algeria,"7,151",-,-,-,-,-,"1,300","1,346",-,-,-,"4,505",-,-,-,2014
Bahrain,"10,972",-,-,-,-,-,450,522,"10,000",-,-,-,-,-,-,2014
Egypt,"1,505,920",-,-,-,"200,000","3,000","2,920",-,"1,300,000",-,-,-,-,-,-,2014
Iraq,"367,633",-,-,-,"17,500","23,052","25,610","1,471","300,000",-,-,-,-,-,-,2014
Israel,"3,100,000",-,-,-,-,-,-,-,"3,100,000",-,-,-,-,-,-,2014
Jordan,"1,010,288",-,-,-,"700,000",-,"6,700","3,588","300,000",-,-,-,-,-,-,2014
Lebanon,"166,000",-,-,-,"70,000","13,894","4,760","2,347","74,999",-,-,-,-,-,-,2014
Libya,"5,901",-,-,-,-,"1,500","2,940","1,461",-,-,-,-,-,-,-,2014
Morocco,"34,183",-,-,-,"20,896","3,000","1,470","1,817","7,000",-,-,-,-,-,-,2014
Oman,"11,511",-,-,-,-,-,"1,500","2,011","8,000",-,-,-,-,-,-,2014
Saudi Arabia,9,-,-,-,-,-,-,9,-,-,-,-,-,-,-,2014
Syria,"8,250",-,-,-,"8,250",-,-,-,-,-,-,-,-,-,-,2014
Tunisia,"57,779",-,-,-,"25,000","9,000","1,480","2,300","19,999",-,-,-,-,-,-,2014
West Bank and Gaza,"449,738",-,-,-,"370,000","70,000",-,-,-,-,-,"9,738",-,-,-,2014
Yemen,"102,790",-,"9,000",-,"13,000","3,000","3,920","1,109","20,000",-,-,"52,761",-,-,-,2014
MENA Initiative,"20,300",-,-,-,"20,300",-,-,-,-,-,-,-,-,-,-,2014
Middle East Multilaterals (MEM),"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,2014
Middle East Partnership Initiative (MEPI),"75,000",-,-,-,"75,000",-,-,-,-,-,-,-,-,-,-,2014
Middle East Regional Cooperation (MERC),"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,2014
Multinational Force and Observers (MFO),"36,000",-,-,-,-,-,-,-,-,"36,000",-,-,-,-,-,2014
Near East Regional Democracy,"32,000",-,-,-,"32,000",-,-,-,-,-,-,-,-,-,-,2014
Trans-Sahara Counter-Terrorism Partnership (TSCTP),,,,,,,,,,,,,,,,2014
,"2,500",-,-,-,-,"1,000","1,500",-,-,-,-,-,-,-,-,2014
USAID Middle East Regional (MER),"30,000",-,-,-,"30,000",-,-,-,-,-,-,-,-,-,-,2014
South and Central Asia,"2,615,159","105,328","184,700","26,271","1,449,938","312,660","71,500","12,288","290,885",-,-,"161,589",-,-,-,2014
Afghanistan,"1,186,628",-,-,-,"852,000","225,000","43,150",509,-,-,-,"65,969",-,-,-,2014
Bangladesh,"205,051","81,578","79,500",-,-,"2,600","3,350",996,"2,500",-,-,"34,527",-,-,-,2014
India,"87,165","19,000","48,000","13,777",-,-,"5,000","1,388",-,-,-,-,-,-,-,2014
Kazakhstan,"9,664",-,-,-,"6,354","1,200","1,430",680,-,-,-,-,-,-,-,2014
Kyrgyz Republic,"45,356",-,"4,300",-,"32,937","6,000","1,250",869,-,-,-,-,-,-,-,2014
Maldives,"4,461","2,000",-,-,-,"1,200",640,221,400,-,-,-,-,-,-,2014
Nepal,"81,732",-,"40,900",-,"33,933","3,300",845,"1,004","1,750",-,-,-,-,-,-,2014
Pakistan,"890,404",-,-,-,"477,042","57,400","9,970","4,899","280,000",-,-,"61,093",-,-,-,2014
Sri Lanka,"6,556","2,000",-,-,-,720,"3,080",756,-,-,-,-,-,-,-,2014
Tajikistan,"37,994",-,"7,000",-,"18,439","7,000","1,485",535,"3,535",-,-,-,-,-,-,2014
Turkmenistan,"5,044",-,-,-,"3,988",500,330,226,-,-,-,-,-,-,-,2014
Uzbekistan,"12,923",-,"4,000",-,"4,738",740,540,205,"2,700",-,-,-,-,-,-,2014
Central Asia Regional,"38,422",-,"1,000","12,494","17,928","7,000",-,-,-,-,-,-,-,-,-,2014
State South and Central Asia Regional,"3,009",-,-,-,"2,579",-,430,-,-,-,-,-,-,-,-,2014
USAID South Asia Regional,750,750,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
Western Hemisphere,"1,477,611","214,399","63,063","157,368","459,280","467,131","14,485","13,503","59,315",-,-,"29,067",-,-,-,2014
Argentina,589,-,-,-,-,-,240,349,-,-,-,-,-,-,-,2014
Belize,"1,234",-,-,-,-,-,-,234,"1,000",-,-,-,-,-,-,2014
Brazil,"13,858","12,500",-,500,-,-,240,618,-,-,-,-,-,-,-,2014
Chile,"1,082",-,-,-,-,-,290,792,-,-,-,-,-,-,-,2014
Colombia,"330,601",-,-,-,"141,500","149,000","4,300","1,534","28,500",-,-,"5,767",-,-,-,2014
Costa Rica,"1,731",-,-,-,-,-,-,331,"1,400",-,-,-,-,-,-,2014
Cuba,"20,000",-,-,-,"20,000",-,-,-,-,-,-,-,-,-,-,2014
Dominican Republic,"23,248","10,300","5,750","6,438",-,-,-,760,-,-,-,-,-,-,-,2014
Ecuador,"2,000","2,000",-,-,-,-,-,-,-,-,-,-,-,-,-,2014
El Salvador,"21,631","18,631",-,-,-,-,-,"1,100","1,900",-,-,-,-,-,-,2014
Guatemala,"65,278","42,789","15,000",-,-,-,-,714,"1,740",-,-,"5,035",-,-,-,2014
Guyana,"6,904",-,-,"6,608",-,-,-,296,-,-,-,-,-,-,-,2014
Haiti,"300,796",-,"25,200","124,013","119,477","12,000",-,241,"1,600",-,-,"18,265",-,-,-,2014
Honduras,"41,847","36,700",-,-,-,-,-,647,"4,500",-,-,-,-,-,-,2014
Jamaica,"6,670","6,000",-,-,-,-,-,670,-,-,-,-,-,-,-,2014
Mexico,"206,768",-,-,-,"46,750","148,131","3,910","1,427","6,550",-,-,-,-,-,-,2014
Nicaragua,"8,400","8,400",-,-,-,-,-,-,-,-,-,-,-,-,-,2014
Panama,"2,986",-,-,-,-,-,190,671,"2,125",-,-,-,-,-,-,2014
Paraguay,"7,528","7,000",-,-,-,-,-,528,-,-,-,-,-,-,-,2014
Peru,"82,649","12,029",-,-,"34,471","33,000",150,499,"2,500",-,-,-,-,-,-,2014
Suriname,212,-,-,-,-,-,-,212,-,-,-,-,-,-,-,2014
The Bahamas,172,-,-,-,-,-,-,172,-,-,-,-,-,-,-,2014
Trinidad and Tobago,179,-,-,-,-,-,-,179,-,-,-,-,-,-,-,2014
Uruguay,725,-,-,-,-,-,-,725,-,-,-,-,-,-,-,2014
Venezuela,"4,298",-,-,-,"4,298",-,-,-,-,-,-,-,-,-,-,2014
Barbados and Eastern Caribbean,"16,734","7,500","1,222","7,208",-,-,-,804,-,-,-,-,-,-,-,2014
State Western Hemisphere Regional,"230,449",-,-,-,"92,784","125,000","5,165",-,"7,500",-,-,-,-,-,-,2014
USAID Central America Regional,"33,492","12,500","8,391","12,601",-,-,-,-,-,-,-,-,-,-,-,2014
USAID Latin America and Caribbean Regional,"29,050","25,050","4,000",-,-,-,-,-,-,-,-,-,-,-,-,2014
USAID South America Regional,"16,500","13,000","3,500",-,-,-,-,-,-,-,-,-,-,-,-,2014
USAID Asia Regional,"11,930","7,180","4,750",-,-,-,-,-,-,-,-,-,-,-,-,2014
,,,,,,,,,,,,,,,,2014
"AVC - Arms Control, Verification, and  Compliance","32,000",-,-,-,-,-,"32,000",-,-,-,-,-,-,-,-,2014
BFS - Bureau for Food Security,"319,400","319,400",-,-,-,-,-,-,-,-,-,-,-,-,-,2014
CT - Counterterrorism,"109,956",-,-,-,-,-,"109,956",-,-,-,-,-,-,-,-,2014
"DCHA - Democracy, Conflict, and Humanitarian Assistance",,,,,,,,,,,,,,,,2014
,"2,226,976","112,513","19,500",-,"25,917",-,-,-,-,-,-,"130,446","1,801,000","60,000","77,600",2014
"DRL - Democracy, Human Rights and Labor","70,500",-,-,-,-,-,-,-,-,-,-,-,-,"70,500",-,2014
"E3 - Economic Growth, Education, and Environment",,,,,,,,,,,,,,,,2014
,"230,399","220,399",-,-,"10,000",-,-,-,-,-,-,-,-,-,-,2014
ENR - Energy Resources,"11,800",-,-,-,"11,800",-,-,-,-,-,-,-,-,-,-,2014
GH - Global Health,"411,502",-,"411,502",-,-,-,-,-,-,-,-,-,-,-,-,2014
GH - International Partnerships,"468,695",-,"468,695",-,-,-,-,-,-,-,-,-,-,-,-,2014
INL - International Narcotics and Law Enforcement Affairs,,,,,,,,,,,,,,,,2014
,"169,585",-,-,-,-,"169,585",-,-,-,-,-,-,-,-,-,2014
IO - International Organizations,"339,720",-,-,-,-,-,-,-,-,-,"339,720",-,-,-,-,2014
,,,,,,,,,,,,,,,,2014
ISN - International Security and Nonproliferation,"229,109",-,-,-,-,-,"229,109",-,-,-,-,-,-,-,-,2014
J/TIP - Office to Monitor and Combat Trafficking In Persons,,,,,,,,,,,,,,,,2014
,"24,041",-,-,-,-,"24,041",-,-,-,-,-,-,-,-,-,2014
LAB - Global Development Lab,"115,000","108,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,2014
OES - Oceans and International Environmental and Scientific Affairs,,,,,,,,,,,,,,,,2014
,"117,807",-,-,-,"117,807",-,-,-,-,-,-,-,-,-,-,2014
,,,,,,,,,,,,,,,,2014
Office of U.S. Foreign Assistance Resources,"84,300",-,-,-,"4,300","10,000",-,-,"50,000",-,-,-,-,-,"20,000",2014
Other Funding,"290,237","20,000",-,-,"26,225","96,938","18,500","1,803","122,971",-,-,-,-,-,"3,800",2014
PM - Political-Military Affairs,"242,078",-,-,-,-,-,"58,475","5,503","71,000","107,100",-,-,-,-,-,2014
"PPL - Policy, Planning and  Learning","21,000","21,000",-,-,-,-,-,-,-,-,-,-,-,-,-,2014
"PRM - Population, Refugees, and  Migration","3,109,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,109,000",2014
,,,,,,,,,,,,,,,,2014
S/GAC - Office of the Global AIDS Coordinator,"2,384,611",-,-,"2,384,611",-,-,-,-,-,-,-,-,-,-,-,2014
"S/GAC, Additional Funding for Country Programs","474,442",-,-,"474,442",-,-,-,-,-,-,-,-,-,-,-,2014
"S/GAC, International Partnerships","1,695,000",-,-,"1,695,000",-,-,-,-,-,-,-,-,-,-,-,2014
"S/GAC, Oversight/Management","135,169",-,-,"135,169",-,-,-,-,-,-,-,-,-,-,-,2014
"S/GAC, Technical Support//Strategic Information/Evaluation",,,,,,,,,,,,,,,,2014
,"80,000",-,-,"80,000",-,-,-,-,-,-,-,-,-,-,-,2014
Special Representatives,"24,345",-,-,-,"24,345",-,-,-,-,-,-,-,-,-,-,2014
S/CCI - Office of the Coordinator for Cyber Issues,480,-,-,-,480,-,-,-,-,-,-,-,-,-,-,2014
S/GP - Secretary's Office of Global Partnerships,"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,2014
S/GWI - Ambassador-at-Large for Global Women’s Issues,,,,,,,,,,,,,,,,2014
,"22,000",-,-,-,"22,000",-,-,-,-,-,-,-,-,-,-,2014
S/SACSED - Senior Advisor for Civil Society and Emerging Democracies,,,,,,,,,,,,,,,,2014
,480,-,-,-,480,-,-,-,-,-,-,-,-,-,-,2014
S/SRMC - Special Representative to Muslim Communities,,,,,,,,,,,,,,,,2014
,385,-,-,-,385,-,-,-,-,-,-,-,-,-,-,2014
USAID Management,"1,321,248",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,321,248",2014
USAID Capital Investment Fund,"117,940",-,-,-,-,-,-,-,-,-,-,-,-,-,"117,940",2014
USAID Development Credit Authority Admin,"8,041",-,-,-,-,-,-,-,-,-,-,-,-,-,"8,041",2014
USAID Inspector General Operating Expense,"55,038",-,-,-,-,-,-,-,-,-,-,-,-,-,"55,038",2014
USAID Operating Expense,"1,140,229",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,140,229",2014
Independent Agencies,"473,267",-,-,-,-,-,-,-,-,-,-,-,-,-,"473,267",2014
Peace Corps,"379,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"379,000",2014
Millennium Challenge Corporation,"898,200",-,-,-,-,-,-,-,-,-,-,-,-,-,"898,200",2014
Inter-American Foundation,"22,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"22,500",2014
U.S. African Development Foundation,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2014
International Affairs Technical Assistance,"23,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"23,500",2014
Export-Import Bank,"-669,600",-,-,-,-,-,-,-,-,-,-,-,-,-,"-669,600",2014
Overseas Private Investment Corporation (OPIC),"-265,406",-,-,-,-,-,-,-,-,-,-,-,-,-,"-265,406",2014
U.S. Trade and Development Agency,"55,073",-,-,-,-,-,-,-,-,-,-,-,-,-,"55,073",2014
Multilateral Development Banks,"2,666,729",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,666,729",2014
International Bank for Reconstruction and Development,,,,,,,,,,,,,,,,2014
,"186,957",-,-,-,-,-,-,-,-,-,-,-,-,-,"186,957",2014
International Development Association (IDA),"1,355,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,355,000",2014
IDA Multilateral Debt Relief Initiative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
African Development Bank,"32,418",-,-,-,-,-,-,-,-,-,-,-,-,-,"32,418",2014
African Development Fund (AfDF),"176,336",-,-,-,-,-,-,-,-,-,-,-,-,-,"176,336",2014
AfDF Multilateral Debt Relief Initiative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
Asian Development Bank,"106,586",-,-,-,-,-,-,-,-,-,-,-,-,-,"106,586",2014
Asian Development Fund,"109,854",-,-,-,-,-,-,-,-,-,-,-,-,-,"109,854",2014
Inter-American Development Bank,"102,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"102,000",2014
Enterprise for the Americas Multilateral Investment Fund,,,,,,,,,,,,,,,,2014
,"6,298",-,-,-,-,-,-,-,-,-,-,-,-,-,"6,298",2014
Global Environment Facility (GEF),"143,750",-,-,-,-,-,-,-,-,-,-,-,-,-,"143,750",2014
Clean Technology Fund,"209,630",-,-,-,-,-,-,-,-,-,-,-,-,-,"209,630",2014
Strategic Climate Fund,"74,900",-,-,-,-,-,-,-,-,-,-,-,-,-,"74,900",2014
Green Climate Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
North American Development Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
International Fund for Agricultural Development,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2014
Global Agriculture and Food Security Program,"133,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"133,000",2014
Transfer to Multilateral Trust Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
International Monetary Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2014
,,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/238223.pdf,,,,,,,,,,,,,,,,
