Country,Total,DA,GHP-USAID,GHP-STATE,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,IO&P,P.L. 480,IDA,Other**,Fiscal Year
Madagascar,"69,473",-,"50,100",500,-,-,-,-,-,-,-,-,"18,873",-,-,2012
Malawi,"183,715","31,500","70,500","51,448",-,-,-,-,294,-,-,-,"29,973",-,-,2012
Mali,"154,629","67,143","59,650","1,500",-,-,-,-,69,-,-,-,"26,267",-,-,2012
Mauritania,"12,067",-,-,-,-,-,-,-,185,200,-,-,"11,682",-,-,2012
Mauritius,115,-,-,-,-,-,-,-,115,-,-,-,-,-,-,2012
Mozambique,"347,346","37,165","65,200","224,239",-,-,500,"2,000",456,-,-,-,"17,786",-,-,2012
Namibia,"90,945",-,"2,000","88,809",-,-,-,-,136,-,-,-,-,-,-,2012
Niger,"58,929","1,000",-,-,-,-,-,-,47,400,-,-,"57,482",-,-,2012
Nigeria,"646,944","50,291","133,500","461,227",-,-,-,-,926,"1,000",-,-,-,-,-,2012
Republic of the Congo,66,-,-,-,-,-,-,-,66,-,-,-,-,-,-,2012
Rwanda,"197,092","53,500","42,100","99,072",-,-,-,-,530,-,-,-,"1,890",-,-,2012
Sao Tome and Principe,118,-,-,-,-,-,-,-,118,-,-,-,-,-,-,2012
Senegal,"109,606","50,000","53,950","1,535",-,-,-,-,939,325,-,-,"2,857",-,-,2012
Seychelles,135,-,-,-,-,-,-,-,135,-,-,-,-,-,-,2012
Sierra Leone,"17,651",-,-,500,"4,500",-,-,-,447,-,-,-,"12,204",-,-,2012
Somalia,"206,688",-,"1,550",-,"23,377",-,"2,000","2,000",-,-,"97,818",-,"79,943",-,-,2012
South Africa,"542,235","14,734","12,000","509,969",-,-,"3,000","1,050",782,700,-,-,-,-,-,2012
South Sudan,"619,577",-,"43,010","12,036","305,360",-,"32,000","2,800",858,-,"48,000",-,"175,513",-,-,2012
Sudan,"196,024",-,-,-,"30,000",-,-,"1,100",-,-,-,-,"164,924",-,-,2012
Swaziland,"31,425",-,"6,900","24,425",-,-,-,-,100,-,-,-,-,-,-,2012
Tanzania,"480,613","105,000","98,100","268,616",-,-,450,-,461,200,-,-,"7,786",-,-,2012
The Gambia,111,-,-,-,-,-,-,-,111,-,-,-,-,-,-,2012
Togo,248,-,-,-,-,-,-,-,248,-,-,-,-,-,-,2012
Uganda,"460,124","64,999","81,250","284,084",-,-,600,-,613,200,-,-,"28,378",-,-,2012
Zambia,"312,825","28,726","57,075","226,661",-,-,-,-,363,-,-,-,-,-,-,2012
Zimbabwe,"167,115",-,"41,500","68,021","25,578",-,-,-,-,-,-,-,"32,016",-,-,2012
African Union,760,-,-,-,760,-,-,-,-,-,-,-,-,-,-,2012
State Africa Regional (AF),"70,400",-,-,-,"20,000",-,"22,350","16,900",-,"2,000","9,150",-,-,-,-,2012
USAID Africa Regional (AFR),"68,252","50,566","17,686",-,-,-,-,-,-,-,-,-,-,-,-,2012
USAID Central Africa Regional,"22,588","22,588",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
USAID East Africa Regional,"62,746","45,500","9,946",800,"6,500",-,-,-,-,-,-,-,-,-,-,2012
USAID Southern Africa Regional,"28,130","24,530","2,000","1,600",-,-,-,-,-,-,-,-,-,-,-,2012
USAID West Africa Regional,"79,582","66,082","13,500",-,-,-,-,-,-,-,-,-,-,-,-,2012
East Asia and Pacific,"714,950","285,490","138,350","86,218","88,615",-,"24,645","34,315","9,015","48,302",-,-,-,-,-,2012
Burma,"46,600",-,"3,000","8,500","35,100",-,-,-,-,-,-,-,-,-,-,2012
Cambodia,"76,098","28,350","32,500","3,000","7,000",-,-,"4,140",308,800,-,-,-,-,-,2012
China,"14,300",-,-,"3,000","10,500",-,800,-,-,-,-,-,-,-,-,2012
Indonesia,"177,834","104,500","39,250",-,-,-,"11,550","6,650","1,884","14,000",-,-,-,-,-,2012
Laos,"7,626","1,350",-,-,-,-,"1,000","5,000",276,-,-,-,-,-,-,2012
Malaysia,"2,329",-,-,-,-,-,-,"1,500",829,-,-,-,-,-,-,2012
Marshall Islands,536,492,-,-,-,-,-,-,44,-,-,-,-,-,-,2012
Micronesia,492,492,-,-,-,-,-,-,-,-,-,-,-,-,-,2012
Mongolia,"7,125","3,000",-,-,-,-,-,250,875,"3,000",-,-,-,-,-,2012
Papua New Guinea,"5,000",-,"2,500","2,500",-,-,-,-,-,-,-,-,-,-,-,2012
Philippines,"155,784","81,055","33,800",-,-,-,"2,450","9,525","1,954","27,000",-,-,-,-,-,2012
Samoa,115,-,-,-,-,-,-,-,115,-,-,-,-,-,-,2012
Singapore,250,-,-,-,-,-,-,250,-,-,-,-,-,-,-,2012
Taiwan,250,-,-,-,-,-,-,250,-,-,-,-,-,-,-,2012
Thailand,"12,246","5,051","1,000",500,-,-,"1,740","1,450","1,318","1,187",-,-,-,-,-,2012
Timor-Leste,"14,460","9,500","3,000",-,"1,000",-,660,-,300,-,-,-,-,-,-,2012
Vietnam,"107,654","18,000",-,"66,978","15,000",-,550,"4,200",611,"2,315",-,-,-,-,-,2012
State East Asia and Pacific Regional,"20,511",-,-,-,"13,015",-,"5,895","1,100",501,-,-,-,-,-,-,2012
USAID Regional Development Mission-Asia,,,,,,,,,,,,,,,,2012
(RDM/A),"65,740","33,700","23,300","1,740","7,000",-,-,-,-,-,-,-,-,-,-,2012
Europe and Eurasia,"709,274",-,"15,150","10,503","8,500","513,907",-,"24,210","29,994","107,010",-,-,-,-,-,2012
Albania,"22,717",-,-,-,-,"16,000",-,"2,650","1,067","3,000",-,-,-,-,-,2012
Armenia,"44,225",-,-,-,-,"40,000",-,850,675,"2,700",-,-,-,-,-,2012
Azerbaijan,"20,865",-,-,-,-,"16,600",-,865,700,"2,700",-,-,-,-,-,2012
Belarus,"11,072",-,-,-,-,"11,072",-,-,-,-,-,-,-,-,-,2012
Bosnia and Herzegovina,"49,749",-,-,-,-,"39,000",-,"5,250",999,"4,500",-,-,-,-,-,2012
Bulgaria,"10,393",-,-,-,-,-,-,-,"1,746","8,647",-,-,-,-,-,2012
Croatia,"4,696",-,-,-,-,-,-,"1,250",946,"2,500",-,-,-,-,-,2012
Cyprus,"3,500",-,-,-,"3,500",-,-,-,-,-,-,-,-,-,-,2012
Czech Republic,"6,892",-,-,-,-,-,-,-,"1,892","5,000",-,-,-,-,-,2012
Estonia,"3,612",-,-,-,-,-,-,-,"1,212","2,400",-,-,-,-,-,2012
Georgia,"85,486",-,-,450,-,"66,732",-,"2,025","1,879","14,400",-,-,-,-,-,2012
Greece,102,-,-,-,-,-,-,-,102,-,-,-,-,-,-,2012
Hungary,"1,847",-,-,-,-,-,-,-,947,900,-,-,-,-,-,2012
Kosovo,"66,718",-,-,-,-,"61,998",-,910,810,"3,000",-,-,-,-,-,2012
Latvia,"3,377",-,-,-,-,-,-,-,"1,129","2,248",-,-,-,-,-,2012
Lithuania,"3,675",-,-,-,-,-,-,-,"1,125","2,550",-,-,-,-,-,2012
Macedonia,"19,457",-,-,-,-,"14,273",-,520,"1,064","3,600",-,-,-,-,-,2012
Malta,150,-,-,-,-,-,-,-,150,-,-,-,-,-,-,2012
Moldova,"23,510",-,-,-,-,"21,000",-,400,860,"1,250",-,-,-,-,-,2012
Montenegro,"6,414",-,-,-,-,"3,140",-,"1,500",574,"1,200",-,-,-,-,-,2012
Poland,"29,265",-,-,-,-,"3,000",-,-,"2,100","24,165",-,-,-,-,-,2012
Portugal,25,-,-,-,-,-,-,-,25,-,-,-,-,-,-,2012
Romania,"13,754",-,-,-,-,-,-,-,"1,754","12,000",-,-,-,-,-,2012
Serbia,"38,837",-,-,-,-,"33,500",-,"2,650",887,"1,800",-,-,-,-,-,2012
Slovakia,"2,003",-,-,-,-,-,-,-,"1,003","1,000",-,-,-,-,-,2012
Slovenia,"1,119",-,-,-,-,-,-,-,669,450,-,-,-,-,-,2012
Turkey,"4,939",-,-,-,-,-,-,"1,100","3,839",-,-,-,-,-,-,2012
Ukraine,"103,593",-,"4,400","8,753",-,"79,100",-,"2,500","1,840","7,000",-,-,-,-,-,2012
Eurasia Regional,"86,315",-,"10,750","1,300","1,250","71,565",-,"1,450",-,-,-,-,-,-,-,2012
Europe Regional,"10,967",-,-,-,"1,250","9,427",-,290,-,-,-,-,-,-,-,2012
International Fund for Ireland,"2,500",-,-,-,"2,500",-,-,-,-,-,-,-,-,-,-,2012
Organization for Security and Cooperation in,,,,,,,,,,,,,,,,2012
Europe (OSCE),"27,500",-,-,-,-,"27,500",-,-,-,-,-,-,-,-,-,2012
Near East,"6,570,786","19,039","7,989",-,"1,410,930",-,"135,395","59,895","17,998","4,813,500","28,000",-,"78,040",-,-,2012
Algeria,"10,874",-,-,-,-,-,-,900,"1,294",-,-,-,"8,680",-,-,2012
Bahrain,"11,054",-,-,-,-,-,-,500,554,"10,000",-,-,-,-,-,2012
Egypt,"1,556,489",-,-,-,"250,000",-,"1,000","4,100","1,389","1,300,000",-,-,-,-,-,2012
Iraq,"99,842",-,-,-,"70,900",-,-,"26,945","1,997",-,-,-,-,-,-,2012
Israel,"3,075,000",-,-,-,-,-,-,-,-,"3,075,000",-,-,-,-,-,2012
Jordan,"675,900",-,-,-,"360,000",-,500,"11,750","3,650","300,000",-,-,-,-,-,2012
Lebanon,"191,147",-,-,-,"84,725",-,"24,000","5,050","2,372","75,000",-,-,-,-,-,2012
Libya,"2,396",-,-,-,-,-,-,"2,100",296,-,-,-,-,-,-,2012
Morocco,"33,737","19,039",-,-,-,-,"1,500","3,300","1,898","8,000",-,-,-,-,-,2012
Oman,"11,138",-,-,-,-,-,-,"1,500","1,638","8,000",-,-,-,-,-,2012
Saudi Arabia,9,-,-,-,-,-,-,-,9,-,-,-,-,-,-,2012
Tunisia,"24,837",-,-,-,"5,000",-,-,500,"1,837","17,500",-,-,-,-,-,2012
West Bank and Gaza,"510,256",-,-,-,"395,699",-,"100,000",-,-,-,-,-,"14,557",-,-,2012
Yemen,"119,107",-,"7,989",-,"26,606",-,"7,395","1,250","1,064","20,000",-,-,"54,803",-,-,2012
Egypt Debt Relief,"100,000",-,-,-,"100,000",-,-,-,-,-,-,-,-,-,-,2012
Middle East Multilaterals (MEM),"1,500",-,-,-,"1,500",-,-,-,-,-,-,-,-,-,-,2012
Middle East Partnership Initiative (MEPI),"70,000",-,-,-,"70,000",-,-,-,-,-,-,-,-,-,-,2012
Middle East Regional Cooperation (MERC),"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,2012
Multinational Force and Observers (MFO),"28,000",-,-,-,-,-,-,-,-,-,"28,000",-,-,-,-,2012
Near East Regional Democracy,"35,000",-,-,-,"35,000",-,-,-,-,-,-,-,-,-,-,2012
Trans-Sahara Counter-Terrorism Partnership,,,,,,,,,,,,,,,,2012
(TSCTP),"4,500",-,-,-,"1,500",-,"1,000","2,000",-,-,-,-,-,-,-,2012
USAID Middle East Regional (OMEP),"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,2012
South and Central Asia,"915,697","127,874","197,550","10,602","110,503","112,811","12,814","62,930","13,178","90,685",-,-,"176,750",-,-,2012
Afghanistan,"123,126",-,-,-,"21,000",-,-,"41,750","1,176",-,-,-,"59,200",-,-,2012
Bangladesh,"204,381","81,686","71,600",-,-,-,"1,394","3,666",994,"2,200",-,-,"42,841",-,-,2012
India,"108,162","18,500","76,000","7,000",-,-,-,"5,200","1,462",-,-,-,-,-,-,2012
Kazakhstan,"19,285",-,900,-,-,"14,100",-,"1,700",785,"1,800",-,-,-,-,-,2012
Kyrgyz Republic,"47,399",-,"3,200",-,-,"40,800",-,"1,250",649,"1,500",-,-,-,-,-,2012
Maldives,"2,593","2,000",-,-,-,-,-,-,193,400,-,-,-,-,-,2012
Nepal,"95,404","16,188","38,500",-,"26,979",-,"3,700","1,014","1,142","1,240",-,-,"6,641",-,-,2012
Pakistan,"210,791",-,-,-,"57,500",-,-,800,"4,868","79,555",-,-,"68,068",-,-,2012
Sri Lanka,"13,360","8,000",-,-,-,-,720,"3,450",690,500,-,-,-,-,-,2012
Tajikistan,"45,089",-,"3,350",-,-,"38,751",-,"1,650",538,800,-,-,-,-,-,2012
Turkmenistan,"9,199",-,-,-,-,"8,000",-,850,349,-,-,-,-,-,-,2012
Uzbekistan,"14,162",-,"3,000",-,-,"7,540",-,600,332,"2,690",-,-,-,-,-,2012
Central Asia Regional,"8,222",-,"1,000","3,602",-,"3,620",-,-,-,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,2012
State South and Central Asia Regional (SCA),"13,024",-,-,-,"5,024",-,"7,000","1,000",-,-,-,-,-,-,-,2012
USAID South Asia Regional,"1,500","1,500",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
Western Hemisphere,"1,823,526","333,785","104,509","182,236","465,541",-,"593,270","20,530","14,597","70,885",-,-,"38,173",-,-,2012
Argentina,"1,038",-,-,-,-,-,-,300,738,-,-,-,-,-,-,2012
Belize,687,-,-,-,-,-,-,300,187,200,-,-,-,-,-,2012
Bolivia,"28,827","7,000","14,100",-,-,-,"7,500",-,227,-,-,-,-,-,-,2012
Brazil,"18,038","12,800",-,"1,300",-,-,"3,000",300,638,-,-,-,-,-,-,2012
Chile,"1,155",-,-,-,-,-,-,300,855,-,-,-,-,-,-,2012
Colombia,"384,288",-,-,-,"172,000",-,"160,600","4,750","1,656","40,000",-,-,"5,282",-,-,2012
Costa Rica,"1,112",-,-,-,-,-,-,-,297,815,-,-,-,-,-,2012
Cuba,"20,000",-,-,-,"20,000",-,-,-,-,-,-,-,-,-,-,2012
Dominican Republic,"23,129","12,300","6,768","3,232",-,-,-,-,829,-,-,-,-,-,-,2012
Ecuador,"22,869","16,420",-,-,-,-,"4,500",200,281,450,-,-,"1,018",-,-,2012
El Salvador,"29,183","23,904",-,-,"2,000",-,-,"1,000","1,029","1,250",-,-,-,-,-,2012
Guatemala,"84,475","46,325","17,600",-,-,-,"5,000",-,840,500,-,-,"14,210",-,-,2012
Guyana,"10,864",-,-,"10,525",-,-,-,-,339,-,-,-,-,-,-,2012
Haiti,"351,828",-,"25,000","141,240","148,281",-,"19,420",-,224,-,-,-,"17,663",-,-,2012
Honduras,"57,040","46,266","8,000","1,000",-,-,-,-,774,"1,000",-,-,-,-,-,2012
Jamaica,"6,700","6,000",-,-,-,-,-,-,700,-,-,-,-,-,-,2012
Mexico,"329,680","33,350","1,000",-,"33,260",-,"248,500","5,380","1,190","7,000",-,-,-,-,-,2012
Nicaragua,"12,301","9,400","2,900",-,-,-,-,-,1,-,-,-,-,-,-,2012
Panama,"3,252",-,-,-,-,-,-,150,762,"2,340",-,-,-,-,-,2012
Paraguay,"3,773","2,500",-,-,-,-,500,-,423,350,-,-,-,-,-,2012
Peru,"79,129","41,280","5,000",-,-,-,"29,250","1,000",619,"1,980",-,-,-,-,-,2012
Suriname,239,-,-,-,-,-,-,-,239,-,-,-,-,-,-,2012
The Bahamas,190,-,-,-,-,-,-,-,190,-,-,-,-,-,-,2012
Trinidad and Tobago,175,-,-,-,-,-,-,-,175,-,-,-,-,-,-,2012
Uruguay,539,-,-,-,-,-,-,-,539,-,-,-,-,-,-,2012
Venezuela,"6,000",-,-,-,"6,000",-,-,-,-,-,-,-,-,-,-,2012
Barbados and Eastern Caribbean,"33,176","11,640","6,950","13,741",-,-,-,-,845,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,2012
State Western Hemisphere Regional (WHA),"220,850",-,-,-,"84,000",-,"115,000","6,850",-,"15,000",-,-,-,-,-,2012
USAID Central America Regional,"32,089","15,500","5,391","11,198",-,-,-,-,-,-,-,-,-,-,-,2012
USAID Latin America and Caribbean Regional,,,,,,,,,,,,,,,,2012
(LAC),"44,900","37,100","7,800",-,-,-,-,-,-,-,-,-,-,-,-,2012
USAID South America Regional,"16,000","12,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,2012
Asia Middle East Regional,"24,830","19,030","5,500",300,-,-,-,-,-,-,-,-,-,-,-,2012
"AVC - Arms Control, Verification, and",,,,,,,,,,,,,,,,2012
Compliance,"40,500",-,-,-,-,-,-,"40,500",-,-,-,-,-,-,-,2012
BFS - Bureau for Food Security,"283,900","283,900",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
CT - Counterterrorism,"71,368",-,-,-,"5,000",-,-,"66,368",-,-,-,-,-,-,-,2012
"DCHA - Democracy, Conflict, and",,,,,,,,,,,,,,,,2012
Humanitarian Assistance,"950,710","102,150","15,000",-,"33,900",-,-,-,-,-,-,-,"-132,251","825,000","106,911",2012
,,,,,,,,,,,,,,,,2012
"DRL - Democracy, Human Rights and Labor","74,000",-,-,-,"6,000",-,-,-,-,-,-,-,-,-,"68,000",2012
"E3 - Economic Growth, Education, and",,,,,,,,,,,,,,,,2012
Environment,"181,052","165,700",-,-,"15,352",-,-,-,-,-,-,-,-,-,-,2012
ECA - Educational and Cultural Affairs,"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,2012
ENR - Energy Resources,"9,000",-,-,-,"9,000",-,-,-,-,-,-,-,-,-,-,2012
Foreign Assistance Program Evaluation,600,-,-,-,600,-,-,-,-,-,-,-,-,-,-,2012
GH - Global Health,"371,630",-,"371,630",-,-,-,-,-,-,-,-,-,-,-,-,2012
GH - International Partnerships,"398,545",-,"398,545",-,-,-,-,-,-,-,-,-,-,-,-,2012
IDEA - Office of Innovation and Development,,,,,,,,,,,,,,,,2012
Alliances,"86,418","86,418",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
INL - International Narcotics and Law,,,,,,,,,,,,,,,,2012
Enforcement Affairs,"190,356",-,-,-,-,-,"190,356",-,-,-,-,-,-,-,-,2012
IO - International Organizations,"343,905",-,-,-,-,-,-,-,-,-,-,"343,905",-,-,-,2012
ISN - International Security and,,,,,,,,,,,,,,,,2012
Nonproliferation,"214,070",-,-,-,-,-,-,"214,070",-,-,-,-,-,-,-,2012
J/TIP - Office to Monitor and Combat,,,,,,,,,,,,,,,,2012
Trafficking In Persons,"18,720",-,-,-,-,-,"18,720",-,-,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,2012
MFS - Multilateral Food Security Programs,"14,600","14,600",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
OES - Oceans and International Environmental,,,,,,,,,,,,,,,,2012
and Scientific Affairs,"115,552",-,-,-,"115,552",-,-,-,-,-,-,-,-,-,-,2012
Treasury GCC Transfer,"100,000",-,-,-,"100,000",-,-,-,-,-,-,-,-,-,-,2012
PM - Political-Military Affairs,"192,244",-,-,-,-,-,-,"31,795","5,799","62,800","91,850",-,-,-,-,2012
"PPL - Policy, Planning and Learning","48,000","48,000",-,-,-,-,-,-,-,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,2012
"PRM - Population, Refugees, and Migration","1,673,300",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,673,300",2012
Unallocated Earmarks,"36,345","31,824",-,-,"4,521",-,-,-,-,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,2012
S/GAC - Office of the Global AIDS Coordinator,"2,259,746",-,-,"2,259,746",-,-,-,-,-,-,-,-,-,-,-,2012
Special Representatives,"8,000",-,-,-,"8,000",-,-,-,-,-,-,-,-,-,-,2012
S/GPI - Special Representative for Global,,,,,,,,,,,,,,,,2012
Partnerships,"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,2012
S/GWI - Ambassador-at-Large for Global,,,,,,,,,,,,,,,,2012
Women’s Issues,"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,2012
S/SACSED - Senior Advisor for Civil Society,,,,,,,,,,,,,,,,2012
and Emerging Democracies,"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,2012
S/SRMC - Special Representative to Muslim,,,,,,,,,,,,,,,,2012
Communities,"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,2012
USAID Management,"1,276,800",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,276,800",2012
USAID Capital Investment Fund,"129,700",-,-,-,-,-,-,-,-,-,-,-,-,-,"129,700",2012
,,,,,,,,,,,,,,,,2012
USAID Development Credit Authority Admin,"8,300",-,-,-,-,-,-,-,-,-,-,-,-,-,"8,300",2012
,,,,,,,,,,,,,,,,2012
USAID Inspector General Operating Expense,"46,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"46,500",2012
USAID Operating Expense,"1,092,300",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,092,300",2012
Independent Agencies,"4,699,384",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,699,384",2012
Peace Corps,"375,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"375,000",2012
Millennium Challenge Corporation,"898,200",-,-,-,-,-,-,-,-,-,-,-,-,-,"898,200",2012
Inter-American Foundation,"22,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"22,500",2012
African Development Foundation,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2012
Treasury Technical Assistance,"25,448",-,-,-,-,-,-,-,-,-,-,-,-,-,"25,448",2012
Debt Restructuring,"12,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"12,000",2012
Export-Import Bank,"-799,700",-,-,-,-,-,-,-,-,-,-,-,-,-,"-799,700",2012
Overseas Private Investment Corporation,,,,,,,,,,,,,,,,2012
(OPIC),"-265,734",-,-,-,-,-,-,-,-,-,-,-,-,-,"-265,734",2012
Trade and Development Agency,"50,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"50,000",2012
International Trade Commission,"80,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"80,000",2012
Foreign Claims Settlement Commission,"2,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",2012
,,,,,,,,,,,,,,,,2012
International Financial Institutions (IFIs),"2,622,388",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,622,388",2012
International Bank for Reconstruction and,,,,,,,,,,,,,,,,2012
Development,"117,364",-,-,-,-,-,-,-,-,-,-,-,-,-,"117,364",2012
,,,,,,,,,,,,,,,,2012
International Development Association (IDA),"1,325,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,325,000",2012
African Development Bank,"32,418",-,-,-,-,-,-,-,-,-,-,-,-,-,"32,418",2012
African Development Fund (AfDF),"172,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"172,500",2012
Asian Development Bank,"106,586",-,-,-,-,-,-,-,-,-,-,-,-,-,"106,586",2012
Asian Development Fund,"100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"100,000",2012
Inter-American Development Bank,"75,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"75,000",2012
Inter-American Investment Corporation,"4,670",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,670",2012
Enterprise for the Americas Multilateral,,,,,,,,,,,,,,,,2012
Investment Fund,"25,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"25,000",2012
IDA Multilateral Debt Relief Initiative,"167,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"167,000",2012
AfDF Multilateral Debt Relief Initiative,"7,500",-,-,-,-,-,-,-,-,-,-,-,-,-,"7,500",2012
Global Environment Facility (GEF),"89,820",-,-,-,-,-,-,-,-,-,-,-,-,-,"89,820",2012
Clean Technology Fund,"184,630",-,-,-,-,-,-,-,-,-,-,-,-,-,"184,630",2012
Strategic Climate Fund,"49,900",-,-,-,-,-,-,-,-,-,-,-,-,-,"49,900",2012
,,,,,,,,,,,,,,,,2012
International Fund for Agricultural Development,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2012
,,,,,,,,,,,,,,,,2012
Global Agriculture and Food Security Program,"135,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"135,000",2012
,,,,,,,,,,,,,,,,2012
Middle East and North Africa Transition Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2012
,,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/158269.pdf,,,,,,,,,,,,,,,,
