Country,All Accounts,DA,GHP-USAID,GHP STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,FFP,IDA,Other**,Fiscal Year
Nigeria,"607,498","76,016","173,500","356,652",-,-,-,730,600,-,-,-,-,-,2016
Republic of the Congo,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Rwanda,"160,935","42,926","44,000","73,559",-,-,-,450,-,-,-,-,-,-,2016
Sao Tome and Principe,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Senegal,"102,251","45,216","54,000","1,535",-,-,400,800,300,-,-,-,-,-,2016
Seychelles,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Sierra Leone,"6,810","6,000",-,500,-,-,-,310,-,-,-,-,-,-,2016
Somalia,"209,216",-,-,-,"87,701","1,650","4,500",365,-,"115,000",-,-,-,-,2016
South Africa,"374,200","15,750","9,500","346,550",-,"1,000",300,650,450,-,-,-,-,-,2016
South Sudan,"265,022",-,"35,510","11,790","175,022","10,000","2,000",700,-,"30,000",-,-,-,-,2016
Sudan,"9,149",-,-,-,"9,149",-,-,-,-,-,-,-,-,-,2016
Swaziland,"43,463",-,"6,900","36,413",-,-,-,150,-,-,-,-,-,-,2016
Tanzania,"590,552","97,936","98,335","393,581",-,-,200,500,-,-,-,-,-,-,2016
The Gambia,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Togo,200,-,-,-,-,-,-,200,-,-,-,-,-,-,2016
Uganda,"469,071","49,775","88,200","320,176",-,-,200,520,200,-,-,"10,000",-,-,2016
Zambia,"415,890","23,933","56,875","334,732",-,-,-,350,-,-,-,-,-,-,2016
Zimbabwe,"161,566",-,"41,500","77,250","21,816",-,"1,000",-,-,-,-,"20,000",-,-,2016
African Union,"1,196",-,-,-,696,500,-,-,-,-,-,-,-,-,2016
State Africa Regional (AF),"211,798",-,-,-,"26,795","17,000","24,350",-,"12,403","131,250",-,-,-,-,2016
USAID Africa Regional (AFR),"120,244","106,244","14,000",-,-,-,-,-,-,-,-,-,-,-,2016
USAID Central Africa Regional,"16,578","16,578",-,-,-,-,-,-,-,-,-,-,-,-,2016
USAID East Africa Regional,"65,080","56,480","7,800",800,-,-,-,-,-,-,-,-,-,-,2016
USAID Sahel Regional Program,"28,307","22,007","6,300",-,-,-,-,-,-,-,-,-,-,-,2016
USAID Southern Africa Regional,"34,223","30,623","2,000","1,600",-,-,-,-,-,-,-,-,-,-,2016
USAID West Africa Regional,"79,314","64,914","14,400",-,-,-,-,-,-,-,-,-,-,-,2016
East Asia and Pacific,"845,558","343,340","130,450","80,627","133,087","38,120","38,410","12,500","69,024",-,-,-,-,-,2016
Burma,"110,200",-,"15,500","9,000","80,700","3,000","2,000",-,-,-,-,-,-,-,2016
Cambodia,"80,512","35,250","30,500","5,122","3,500",-,"5,690",450,-,-,-,-,-,-,2016
China,"6,800",-,-,"1,500","4,500",800,-,-,-,-,-,-,-,-,2016
Indonesia,"187,375","112,400","39,750","2,250",-,"11,025","5,550","2,400","14,000",-,-,-,-,-,2016
Laos,"21,750","11,100",-,-,-,"1,000","9,000",450,200,-,-,-,-,-,2016
Malaysia,"3,125",-,-,-,-,855,"1,270","1,000",-,-,-,-,-,-,2016
Marshall Islands,500,500,-,-,-,-,-,-,-,-,-,-,-,-,2016
Micronesia,500,500,-,-,-,-,-,-,-,-,-,-,-,-,2016
Mongolia,"3,874",-,-,-,-,500,250,"1,500","1,624",-,-,-,-,-,2016
Papua New Guinea,"6,450",-,"2,500","3,700",-,-,-,250,-,-,-,-,-,-,2016
Philippines,"184,220","98,430","31,200",-,-,"9,000","3,590","2,000","40,000",-,-,-,-,-,2016
Samoa,100,-,-,-,-,-,-,100,-,-,-,-,-,-,2016
Singapore,250,-,-,-,-,-,250,-,-,-,-,-,-,-,2016
Thailand,"10,420","5,000",-,-,-,"1,900","1,320","2,200",-,-,-,-,-,-,2016
Timor-Leste,"16,200","12,700","2,000",-,-,800,-,400,300,-,-,-,-,-,2016
Tonga,250,-,-,-,-,-,-,250,-,-,-,-,-,-,2016
Vietnam,"125,812","34,750",-,"53,142","15,000","4,450","5,070","1,500","11,900",-,-,-,-,-,2016
State East Asia and Pacific Regional,"34,597",-,-,-,"24,387","4,790","4,420",-,"1,000",-,-,-,-,-,2016
USAID Regional Development Mission-Asia  (RDM/A),"52,623","32,710","9,000","5,913","5,000",-,-,-,-,-,-,-,-,-,2016
Europe and Eurasia,"953,250",-,"7,100","25,515","710,205","34,900","18,130","31,300","126,100",-,-,-,-,-,2016
Albania,"14,120",-,-,-,"6,000","2,650","2,070","1,000","2,400",-,-,-,-,-,2016
Armenia,"23,100",-,-,-,"18,360","1,700",740,600,"1,700",-,-,-,-,-,2016
Azerbaijan,"11,508",-,-,-,"7,978",800,430,600,"1,700",-,-,-,-,-,2016
Belarus,"9,000",-,-,-,"9,000",-,-,-,-,-,-,-,-,-,2016
Bosnia and Herzegovina,"37,220",-,-,-,"24,300","3,800","4,120","1,000","4,000",-,-,-,-,-,2016
Bulgaria,"7,000",-,-,-,-,-,-,"2,000","5,000",-,-,-,-,-,2016
Croatia,"3,600",-,-,-,-,-,-,"1,100","2,500",-,-,-,-,-,2016
Czech Republic,"2,800",-,-,-,-,-,-,"1,800","1,000",-,-,-,-,-,2016
Estonia,"3,200",-,-,-,-,-,-,"1,200","2,000",-,-,-,-,-,2016
Georgia,"77,152",-,-,-,"50,552","3,500",900,"2,200","20,000",-,-,-,-,-,2016
Greece,200,-,-,-,-,-,-,200,-,-,-,-,-,-,2016
Hungary,"1,000",-,-,-,-,-,-,"1,000",-,-,-,-,-,-,2016
Kosovo,"50,720",-,-,-,"35,470","9,500","1,000",750,"4,000",-,-,-,-,-,2016
Latvia,"3,200",-,-,-,-,-,-,"1,200","2,000",-,-,-,-,-,2016
Lithuania,"3,200",-,-,-,-,-,-,"1,200","2,000",-,-,-,-,-,2016
Macedonia,"11,800",-,-,-,"5,000","1,600",500,"1,100","3,600",-,-,-,-,-,2016
Malta,100,-,-,-,-,-,-,100,-,-,-,-,-,-,2016
Moldova,"49,120",-,-,-,"31,820","2,800",600,"1,150","12,750",-,-,-,-,-,2016
Montenegro,"3,600",-,-,-,-,"1,500",500,600,"1,000",-,-,-,-,-,2016
Poland,"11,000",-,-,-,"3,000",-,-,"2,000","6,000",-,-,-,-,-,2016
Portugal,100,-,-,-,-,-,-,100,-,-,-,-,-,-,2016
Romania,"7,100",-,-,-,-,-,-,"1,700","5,400",-,-,-,-,-,2016
Serbia,"18,440",-,-,-,"11,250","2,250","2,090","1,050","1,800",-,-,-,-,-,2016
Slovakia,900,-,-,-,-,-,-,900,-,-,-,-,-,-,2016
Slovenia,650,-,-,-,-,-,-,650,-,-,-,-,-,-,2016
Turkey,"3,850",-,-,-,-,-,650,"3,200",-,-,-,-,-,-,2016
Ukraine,"513,502",-,"6,100","25,515","429,067","4,000","3,670","2,900","42,250",-,-,-,-,-,2016
Europe and Eurasia Regional,"68,568",-,"1,000",-,"60,908",800,860,-,"5,000",-,-,-,-,-,2016
Organization for Security and Cooperation in Europe,,,,,,,,,,,,,,,2016
(OSCE),"17,500",-,-,-,"17,500",-,-,-,-,-,-,-,-,-,2016
Near East,"7,324,070",-,"9,500",-,"1,806,250","127,000","85,760","20,560","5,182,000","93,000",-,-,-,-,2016
Algeria,"2,550",-,-,-,-,-,"1,250","1,300",-,-,-,-,-,-,2016
Bahrain,"8,600",-,-,-,-,-,400,700,"7,500",-,-,-,-,-,2016
Egypt,"1,456,300",-,-,-,"150,000","2,000","2,500","1,800","1,300,000",-,-,-,-,-,2016
Iraq,"355,360",-,-,-,"72,500","11,000","20,860","1,000","250,000",-,-,-,-,-,2016
Israel,"3,100,000",-,-,-,-,-,-,-,"3,100,000",-,-,-,-,-,2016
Jordan,"1,000,000",-,-,-,"637,350",-,"8,850","3,800","350,000",-,-,-,-,-,2016
Lebanon,"210,510",-,-,-,"110,000","13,000","4,760","2,750","80,000",-,-,-,-,-,2016
Libya,"20,000",-,-,-,"10,000","2,000","6,500","1,500",-,-,-,-,-,-,2016
Morocco,"31,600",-,-,-,"20,000","3,000","1,600","2,000","5,000",-,-,-,-,-,2016
Oman,"5,500",-,-,-,-,-,"1,500","2,000","2,000",-,-,-,-,-,2016
Saudi Arabia,10,-,-,-,-,-,-,10,-,-,-,-,-,-,2016
Syria,"255,000",-,-,-,"160,000","10,000","20,000",-,-,"65,000",-,-,-,-,2016
Tunisia,"134,400",-,-,-,"55,000","12,000","2,600","2,300","62,500",-,-,-,-,-,2016
West Bank and Gaza,"442,000",-,-,-,"370,000","70,000","2,000",-,-,-,-,-,-,-,2016
Yemen,"114,400",-,"9,500",-,"70,000","2,000","6,500","1,400","25,000",-,-,-,-,-,2016
Middle East Multilaterals (MEM),"1,400",-,-,-,"1,400",-,-,-,-,-,-,-,-,-,2016
Middle East Partnership Initiative (MEPI),"70,000",-,-,-,"70,000",-,-,-,-,-,-,-,-,-,2016
Middle East Regional Cooperation (MERC),"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,2016
Multinational Force and Observers (MFO),"28,000",-,-,-,-,-,-,-,-,"28,000",-,-,-,-,2016
Near East Regional Democracy,"30,000",-,-,-,"30,000",-,-,-,-,-,-,-,-,-,2016
Trans-Sahara Counter-Terrorism Partnership  (TSCTP),"13,440",-,-,-,"5,000","2,000","6,440",-,-,-,-,-,-,-,2016
USAID Middle East Regional (MER),"40,000",-,-,-,"40,000",-,-,-,-,-,-,-,-,-,2016
South and Central Asia,"2,856,931","123,379","150,725","34,294","1,844,188","314,305","65,180","13,260","275,600",-,-,"36,000",-,-,2016
Afghanistan,"1,514,055",-,-,-,"1,224,900","250,000","37,955","1,200",-,-,-,-,-,-,2016
Bangladesh,"208,883","92,923","71,200",-,-,"2,000","3,260","1,500","2,000",-,-,"36,000",-,-,2016
India,"78,737","24,537","27,500","20,000","3,000",-,"2,400","1,300",-,-,-,-,-,-,2016
Kazakhstan,"8,513",-,-,-,"6,113",700,"1,000",700,-,-,-,-,-,-,2016
Kyrgyz Republic,"50,391",-,"3,750",-,"41,446","3,235","1,010",950,-,-,-,-,-,-,2016
Maldives,"4,340","3,000",-,-,-,-,640,300,400,-,-,-,-,-,2016
Nepal,"82,401","1,668","38,775",-,"33,038","2,230",790,900,"5,000",-,-,-,-,-,2016
Pakistan,"803,800",-,-,-,"478,000","46,000","10,000","4,800","265,000",-,-,-,-,-,2016
Sri Lanka,"3,797",417,-,-,-,-,"2,880",500,-,-,-,-,-,-,2016
Tajikistan,"36,656",-,"5,500",-,"22,886","5,000","2,745",525,-,-,-,-,-,-,2016
Turkmenistan,"4,815",-,-,-,"4,100",200,230,285,-,-,-,-,-,-,2016
Uzbekistan,"9,777",-,"3,000",-,"4,997",940,540,300,-,-,-,-,-,-,2016
Central Asia Regional,"45,502",-,"1,000","14,294","21,708","4,000","1,300",-,"3,200",-,-,-,-,-,2016
State South and Central Asia Regional,"4,430",-,-,-,"4,000",-,430,-,-,-,-,-,-,-,2016
USAID South Asia Regional,834,834,-,-,-,-,-,-,-,-,-,-,-,-,2016
Western Hemisphere,"1,990,127","615,041","65,541","148,444","597,461","464,000","9,070","12,905","64,665",-,-,"13,000",-,-,2016
Argentina,550,-,-,-,-,-,200,350,-,-,-,-,-,-,2016
Belize,"1,250",-,-,-,-,-,-,250,"1,000",-,-,-,-,-,2016
Brazil,"1,365",-,-,500,-,-,240,625,-,-,-,-,-,-,2016
Chile,700,-,-,-,-,-,200,500,-,-,-,-,-,-,2016
Colombia,"288,726",-,-,-,"141,326","117,000","4,000","1,400","25,000",-,-,-,-,-,2016
Costa Rica,"1,825",-,-,-,-,-,-,425,"1,400",-,-,-,-,-,2016
Cuba,"20,000",-,-,-,"20,000",-,-,-,-,-,-,-,-,-,2016
Dominican Republic,"24,409","8,696","5,750","9,363",-,-,-,600,-,-,-,-,-,-,2016
Ecuador,"2,000","2,000",-,-,-,-,-,-,-,-,-,-,-,-,2016
El Salvador,"119,222","116,522",-,-,-,-,-,800,"1,900",-,-,-,-,-,2016
Guatemala,"225,600","205,100","13,000",-,-,-,-,760,"1,740",-,-,"5,000",-,-,2016
Guyana,"6,886",-,-,"6,636",-,-,-,250,-,-,-,-,-,-,2016
Haiti,"241,668",-,"25,200","104,013","97,000","6,000",-,255,"1,200",-,-,"8,000",-,-,2016
Honduras,"162,950","157,700",-,-,-,-,-,750,"4,500",-,-,-,-,-,2016
Jamaica,"5,600","5,000",-,-,-,-,-,600,-,-,-,-,-,-,2016
Mexico,"142,160","12,500",-,-,"39,000","80,000","2,160","1,500","7,000",-,-,-,-,-,2016
Nicaragua,"18,150","18,150",-,-,-,-,-,-,-,-,-,-,-,-,2016
Panama,"3,325",-,-,-,-,-,500,700,"2,125",-,-,-,-,-,2016
Paraguay,"9,460","9,000",-,-,-,-,-,460,-,-,-,-,-,-,2016
Peru,"95,985",-,-,-,"58,085","36,000",-,600,"1,300",-,-,-,-,-,2016
Suriname,215,-,-,-,-,-,-,215,-,-,-,-,-,-,2016
The Bahamas,200,-,-,-,-,-,-,200,-,-,-,-,-,-,2016
Trinidad and Tobago,325,-,-,-,-,-,-,325,-,-,-,-,-,-,2016
Uruguay,500,-,-,-,-,-,-,500,-,-,-,-,-,-,2016
Venezuela,"5,500",-,-,-,"5,500",-,-,-,-,-,-,-,-,-,2016
Barbados and Eastern Caribbean,"29,047","5,926","6,950","15,331",-,-,-,840,-,-,-,-,-,-,2016
State Western Hemisphere Regional,"480,820",-,-,-,"236,550","225,000","1,770",-,"17,500",-,-,-,-,-,2016
USAID Central America Regional,"64,492","43,500","8,391","12,601",-,-,-,-,-,-,-,-,-,-,2016
USAID Latin America and Caribbean Regional,"32,420","29,670","2,750",-,-,-,-,-,-,-,-,-,-,-,2016
USAID South America Regional,"4,777","1,277","3,500",-,-,-,-,-,-,-,-,-,-,-,2016
USAID Asia Regional,"11,319","8,069","3,250",-,-,-,-,-,-,-,-,-,-,-,2016
"AVC - Arms Control, Verification, and Compliance","33,000",-,-,-,-,-,"33,000",-,-,-,-,-,-,-,2016
BFS - Bureau for Food Security,"342,660","342,660",-,-,-,-,-,-,-,-,-,-,-,-,2016
CT - Counterterrorism,"493,891",-,-,-,"8,000",-,"485,891",-,-,-,-,-,-,-,2016
"DCHA - Democracy, Conflict, and Humanitarian",,,,,,,,,,,,,,,2016
Assistance,"3,193,909","75,809","14,500",-,-,-,-,-,-,-,-,"1,265,000","1,741,000","97,600",2016
"DRL - Democracy, Human Rights and Labor","60,000",-,-,-,"60,000",-,-,-,-,-,-,-,-,-,2016
"E3 - Economic Growth, Education, and Environment","270,303","260,303",-,-,"10,000",-,-,-,-,-,-,-,-,-,2016
ENR - Energy Resources,"17,000",-,-,-,"17,000",-,-,-,-,-,-,-,-,-,2016
GH - Global Health,"440,119",-,"440,119",-,-,-,-,-,-,-,-,-,-,-,2016
GH - International Partnerships,"486,845",-,"486,845",-,-,-,-,-,-,-,-,-,-,-,2016
INL - International Narcotics and Law Enforcement,,,,,,,,,,,,,,,2016
Affairs,"145,573",-,-,-,-,"145,573",-,-,-,-,-,-,-,-,2016
IO - International Organizations,"315,000",-,-,-,-,-,-,-,-,-,"315,000",-,-,-,2016
ISN - International Security and Nonproliferation,"200,987",-,-,-,-,-,"200,987",-,-,-,-,-,-,-,2016
J/TIP - Office to Monitor and Combat Trafficking In,,,,,,,,,,,,,,,2016
Persons,"20,723",-,-,-,-,"20,723",-,-,-,-,-,-,-,-,2016
LAB - Global Development Lab,"165,000","160,000","5,000",-,-,-,-,-,-,-,-,-,-,-,2016
OES - Oceans and International Environmental and,,,,,,,,,,,,,,,2016
Scientific Affairs,"448,250",-,-,-,"448,250",-,-,-,-,-,-,-,-,-,2016
Office of U.S. Foreign Assistance Resources,"5,150",-,-,-,"5,150",-,-,-,-,-,-,-,-,-,2016
PM - Political-Military Affairs,"193,456",-,-,-,-,-,"18,006","5,500","70,000","99,950",-,-,-,-,2016
"PPL - Policy, Planning and Learning","25,500","25,500",-,-,-,-,-,-,-,-,-,-,-,-,2016
"PRM - Population, Refugees, and Migration","2,503,595",-,-,-,-,-,-,-,-,-,-,-,-,"2,503,595",2016
S/GAC - Office of the Global AIDS Coordinator,"1,738,934",-,-,"1,738,934",-,-,-,-,-,-,-,-,-,-,2016
"S/GAC, Additional Funding for Country Programs","345,434",-,-,"345,434",-,-,-,-,-,-,-,-,-,-,2016
"S/GAC, International Partnerships","1,151,500",-,-,"1,151,500",-,-,-,-,-,-,-,-,-,-,2016
"S/GAC, Oversight/Management","162,000",-,-,"162,000",-,-,-,-,-,-,-,-,-,-,2016
"S/GAC, Technical Support//Strategic",,,,,,,,,,,,,,,2016
Information/Evaluation,"80,000",-,-,"80,000",-,-,-,-,-,-,-,-,-,-,2016
Special Representatives,"16,700",-,-,-,"16,700",-,-,-,-,-,-,-,-,-,2016
S/CCI - Office of the Coordinator for Cyber Issues,"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,2016
S/GP - Secretary's Office of Global Partnerships,"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,2016
S/GWI - Ambassador-at-Large for Global Women’s,,,,,,,,,,,,,,,2016
Issues,"10,000",-,-,-,"10,000",-,-,-,-,-,-,-,-,-,2016
S/SACSED - Senior Advisor for Civil Society and,,,,,,,,,,,,,,,2016
Emerging Democracies,400,-,-,-,400,-,-,-,-,-,-,-,-,-,2016
S/SRMC - Special Representative to Muslim,,,,,,,,,,,,,,,2016
Communities,300,-,-,-,300,-,-,-,-,-,-,-,-,-,2016
USAID Management,"1,700,526",-,-,-,-,-,-,-,-,-,-,-,-,"1,700,526",2016
USAID Capital Investment Fund,"203,326",-,-,-,-,-,-,-,-,-,-,-,-,"203,326",2016
USAID Development Credit Authority Admin,"9,200",-,-,-,-,-,-,-,-,-,-,-,-,"9,200",2016
USAID Inspector General Operating Expense,"63,000",-,-,-,-,-,-,-,-,-,-,-,-,"63,000",2016
USAID Operating Expense,"1,425,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,425,000",2016
USAID Program Management Initiatives,"1,139","1,139",-,-,-,-,-,-,-,-,-,-,-,-,2016
Independent Agencies,"688,300",-,-,-,-,-,-,-,-,-,-,-,-,"688,300",2016
Peace Corps,"410,000",-,-,-,-,-,-,-,-,-,-,-,-,"410,000",2016
Millennium Challenge Corporation,"1,250,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,250,000",2016
Inter-American  Foundation,"18,100",-,-,-,-,-,-,-,-,-,-,-,-,"18,100",2016
U.S. African Development Foundation,"26,000",-,-,-,-,-,-,-,-,-,-,-,-,"26,000",2016
International Affairs Technical Assistance,"28,000",-,-,-,-,-,-,-,-,-,-,-,-,"28,000",2016
Export-Import Bank,"-875,000",-,-,-,-,-,-,-,-,-,-,-,-,"-875,000",2016
Overseas Private Investment Corporation (OPIC),"-262,500",-,-,-,-,-,-,-,-,-,-,-,-,"-262,500",2016
U.S. Trade and Development Agency,"73,700",-,-,-,-,-,-,-,-,-,-,-,-,"73,700",2016
USDA - Local and Regional Procurement,"20,000",,,,,,,,,,,,,"20,000",2016
Multilateral Development Banks,"2,873,846",-,-,-,-,-,-,-,-,-,-,-,-,"2,873,846",2016
International Bank for Reconstruction and Development,"192,920",-,-,-,-,-,-,-,-,-,-,-,-,"192,920",2016
International Development Association (IDA),"1,290,600",-,-,-,-,-,-,-,-,-,-,-,-,"1,290,600",2016
IDA Multilateral Debt Relief Initiative,"111,000",-,-,-,-,-,-,-,-,-,-,-,-,"111,000",2016
African Development Bank,"34,118",-,-,-,-,-,-,-,-,-,-,-,-,"34,118",2016
African Development Fund (AfDF),"227,500",-,-,-,-,-,-,-,-,-,-,-,-,"227,500",2016
AfDF Multilateral Debt Relief Initiative,"13,500",-,-,-,-,-,-,-,-,-,-,-,-,"13,500",2016
Asian Development Bank,"5,608",-,-,-,-,-,-,-,-,-,-,-,-,"5,608",2016
Asian Development Fund,"166,086",-,-,-,-,-,-,-,-,-,-,-,-,"166,086",2016
Inter-American Development Bank,"102,020",-,-,-,-,-,-,-,-,-,-,-,-,"102,020",2016
Enterprise for the Americas Multilateral Investment Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016
Global Environment Facility (GEF),"168,263",-,-,-,-,-,-,-,-,-,-,-,-,"168,263",2016
Clean Technology Fund,"170,680",-,-,-,-,-,-,-,-,-,-,-,-,"170,680",2016
Strategic Climate Fund,"59,620",-,-,-,-,-,-,-,-,-,-,-,-,"59,620",2016
Green Climate Fund,"150,000",-,-,-,-,-,-,-,-,-,-,-,-,"150,000",2016
North American Development Bank,"45,000",-,-,-,-,-,-,-,-,-,-,-,-,"45,000",2016
International Fund for Agricultural Development,"31,930",-,-,-,-,-,-,-,-,-,-,-,-,"31,930",2016
Global Agriculture and Food Security Program,"43,000",-,-,-,-,-,-,-,-,-,-,-,-,"43,000",2016
Transfer to Multilateral Trust Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016
International Monetary Fund,"62,000",-,-,-,-,-,-,-,-,-,-,-,-,"62,000",2016
,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/238223.pdf,,,,,,,,,,,,,,,
