Country,All Accounts,DA,GHP-USAID,GHP-STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,P.L. 480,IDA,Other**,Fiscal Year
Venezuela,"5,786",-,-,-,"5,786",-,-,-,-,-,-,-,-,-,2013
Barbados and Eastern Caribbean,"32,248","10,032","6,950","14,509",-,-,-,757,-,-,-,-,-,-,2013
State Western Hemisphere Regional (WHA),"221,291",-,-,-,"82,311","125,000","4,486",-,"9,494",-,-,-,-,-,2013
USAID Central America Regional,"33,065","12,421","8,391","12,253",-,-,-,-,-,-,-,-,-,-,2013
USAID Latin America and Caribbean Regional,,,,,,,,,,,,,,,2013
(LAC),"38,089","30,096","7,993",-,-,-,-,-,-,-,-,-,-,-,2013
USAID South America Regional,"13,072","9,551","3,521",-,-,-,-,-,-,-,-,-,-,-,2013
Asia Middle East Regional,"19,136","14,331","4,805",-,-,-,-,-,-,-,-,-,-,-,2013
"AVC - Arms Control, Verification, and",,,,,,,,,,,,,,,2013
Compliance,"38,452",-,-,-,-,-,"38,452",-,-,-,-,-,-,-,2013
BFS - Bureau for Food Security,"316,559","316,559",-,-,-,-,-,-,-,-,-,-,-,-,2013
CT - Counterterrorism,"132,444",-,-,-,"3,858",-,"128,586",-,-,-,-,-,-,-,2013
"DCHA - Democracy, Conflict, and Humanitarian",,,,,,,,,,,,,,,2013
Assistance,"1,878,114","122,562","14,269",-,"22,174",-,-,-,-,-,-,"17,490","1,550,395","151,224",2013
,,,,,,,,,,,,,,,2013
"DRL - Democracy, Human Rights and Labor","66,004",-,-,-,"1,446",-,-,-,-,-,-,-,-,"64,558",2013
"E3 - Economic Growth, Education, and",,,,,,,,,,,,,,,2013
Environment,"193,730","187,959",-,-,"5,771",-,-,-,-,-,-,-,-,-,2013
ECA - Educational and Cultural Affairs,"8,822",-,-,-,"8,822",-,-,-,-,-,-,-,-,-,2013
ENR - Energy Resources,"9,620",-,-,-,"9,620",-,-,-,-,-,-,-,-,-,2013
GH - Global Health,"370,331",-,"370,331",-,-,-,-,-,-,-,-,-,-,-,2013
GH - International Partnerships,"392,017",-,"392,017",-,-,-,-,-,-,-,-,-,-,-,2013
IDEA - Office of Innovation and Development,,,,,,,,,,,,,,,2013
Alliances,"103,737","99,931","3,806",-,-,-,-,-,-,-,-,-,-,-,2013
INL - International Narcotics and Law,,,,,,,,,,,,,,,2013
Enforcement Affairs,"177,025",-,-,-,-,"177,025",-,-,-,-,-,-,-,-,2013
IO - International Organizations,"326,651",-,-,-,-,-,-,-,-,-,"326,651",-,-,-,2013
,,,,,,,,,,,,,,,2013
ISN - International Security and Nonproliferation,"206,932",-,-,-,-,-,"206,932",-,-,-,-,-,-,-,2013
J/TIP - Office to Monitor and Combat Trafficking,,,,,,,,,,,,,,,2013
In Persons,"20,723",-,-,-,-,"20,723",-,-,-,-,-,-,-,-,2013
OES - Oceans and International Environmental,,,,,,,,,,,,,,,2013
and Scientific Affairs,"115,771",-,-,-,"115,771",-,-,-,-,-,-,-,-,-,2013
,,,,,,,,,,,,,,,2013
Office of U.S. Foreign Assistance Resources,497,-,-,-,497,-,-,-,-,-,-,-,-,-,2013
OST - Office of Science and Technology,"44,573","40,767","3,806",-,-,-,-,-,-,-,-,-,-,-,2013
Other Funding,"607,813","11,320",-,-,"94,152","163,538","4,143","1,235","6,600",-,-,-,-,"326,825",2013
To Be Programmed,"524,146","11,320",-,-,"10,485","163,538","4,143","1,235","6,600",-,-,-,-,"326,825",2013
Treasury GCC Transfer,"83,667",-,-,-,"83,667",-,-,-,-,-,-,-,-,-,2013
PM - Political-Military Affairs,"185,411",-,-,-,-,-,"16,425","5,500","72,386","91,100",-,-,-,-,2013
"PPL - Policy, Planning and Learning","21,975","21,975",-,-,-,-,-,-,-,-,-,-,-,-,2013
,,,,,,,,,,,,,,,2013
"PRM - Population, Refugees, and Migration","2,367,663",-,-,-,-,-,-,-,-,-,-,-,-,"2,367,663",2013
,,,,,,,,,,,,,,,2013
S/GAC - Office of the Global AIDS Coordinator,"1,975,669",-,-,"1,975,669",-,-,-,-,-,-,-,-,-,-,2013
"S/GAC, Additional Funding for Country Programs","93,137",-,-,"93,137",-,-,-,-,-,-,-,-,-,-,2013
"S/GAC, International Partnerships","1,611,837",-,-,"1,611,837",-,-,-,-,-,-,-,-,-,-,2013
"S/GAC, Oversight/Management","159,138",-,-,"159,138",-,-,-,-,-,-,-,-,-,-,2013
"S/GAC, Technical Support//Strategic",,,,,,,,,,,,,,,2013
Information/Evaluation,"111,557",-,-,"111,557",-,-,-,-,-,-,-,-,-,-,2013
Special Representatives,"11,515",-,-,-,"11,515",-,-,-,-,-,-,-,-,-,2013
,,,,,,,,,,,,,,,2013
S/CCI - Office of the Coordinator for Cyber Issues,"1,447",-,-,-,"1,447",-,-,-,-,-,-,-,-,-,2013
S/GPI - Special Representative for Global,,,,,,,,,,,,,,,2013
Partnerships,909,-,-,-,909,-,-,-,-,-,-,-,-,-,2013
S/GWI - Ambassador-at-Large for Global,,,,,,,,,,,,,,,2013
Women’s Issues,"8,195",-,-,-,"8,195",-,-,-,-,-,-,-,-,-,2013
S/SACSED - Senior Advisor for Civil Society and,,,,,,,,,,,,,,,2013
Emerging Democracies,482,-,-,-,482,-,-,-,-,-,-,-,-,-,2013
S/SRMC - Special Representative to Muslim,,,,,,,,,,,,,,,2013
Communities,482,-,-,-,482,-,-,-,-,-,-,-,-,-,2013
USAID Management,"1,458,686",-,-,-,-,-,-,-,-,-,-,-,-,"1,458,686",2013
USAID Capital Investment Fund,"123,134",-,-,-,-,-,-,-,-,-,-,-,-,"123,134",2013
USAID Development Credit Authority Admin,"7,880",-,-,-,-,-,-,-,-,-,-,-,-,"7,880",2013
USAID Inspector General Operating Expense,"48,421",-,-,-,-,-,-,-,-,-,-,-,-,"48,421",2013
USAID Operating Expense,"1,279,251",-,-,-,-,-,-,-,-,-,-,-,-,"1,279,251",2013
USAID Program Management Initiatives,573,573,-,-,-,-,-,-,-,-,-,-,-,-,2013
Independent Agencies,"-41,160",-,-,-,-,-,-,-,-,-,-,-,-,"-41,160",2013
Peace Corps,"356,015",-,-,-,-,-,-,-,-,-,-,-,-,"356,015",2013
Millennium Challenge,"852,728",-,-,-,-,-,-,-,-,-,-,-,-,"852,728",2013
Inter-American Foundation,"21,361",-,-,-,-,-,-,-,-,-,-,-,-,"21,361",2013
U.S. African Development Foundation,"28,481",-,-,-,-,-,-,-,-,-,-,-,-,"28,481",2013
International Affairs Technical Assistance,"25,634",-,-,-,-,-,-,-,-,-,-,-,-,"25,634",2013
Debt Restructuring,"11,392",-,-,-,-,-,-,-,-,-,-,-,-,"11,392",2013
Export-Import Bank,"-1,053,137",-,-,-,-,-,-,-,-,-,-,-,-,"-1,053,137",2013
Overseas Private Investment Corporation (OPIC),"-331,103",-,-,-,-,-,-,-,-,-,-,-,-,"-331,103",2013
U.S. Trade and Development Agency,"47,469",-,-,-,-,-,-,-,-,-,-,-,-,"47,469",2013
International Financial Institutions (IFIs),"2,548,553",-,-,-,-,-,-,-,-,-,-,-,-,"2,548,553",2013
International Bank for Reconstruction and,,,,,,,,,,,,,,,2013
Development,"180,993",-,-,-,-,-,-,-,-,-,-,-,-,"180,993",2013
International Development Association (IDA),"1,351,018",-,-,-,-,-,-,-,-,-,-,-,-,"1,351,018",2013
African Development Bank,"30,717",-,-,-,-,-,-,-,-,-,-,-,-,"30,717",2013
African Development Fund (AfDF),"163,449",-,-,-,-,-,-,-,-,-,-,-,-,"163,449",2013
Asian Development Bank,"101,190",-,-,-,-,-,-,-,-,-,-,-,-,"101,190",2013
Asian Development Fund,"94,937",-,-,-,-,-,-,-,-,-,-,-,-,"94,937",2013
Inter-American Development Bank,"107,110",-,-,-,-,-,-,-,-,-,-,-,-,"107,110",2013
Enterprise for the Americas Multilateral Investment,,,,,,,,,,,,,,,2013
Fund,"14,995",-,-,-,-,-,-,-,-,-,-,-,-,"14,995",2013
IDA Multilateral Debt Relief Initaitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013
AfDF Multilateral Debt Relief Initative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013
Global Environment Facility (GEF),"124,840",-,-,-,-,-,-,-,-,-,-,-,-,"124,840",2013
Clean Technology Fund,"175,283",-,-,-,-,-,-,-,-,-,-,-,-,"175,283",2013
Strategic Climate Fund,"47,374",-,-,-,-,-,-,-,-,-,-,-,-,"47,374",2013
International Fund for Agricultural Development,"28,481",-,-,-,-,-,-,-,-,-,-,-,-,"28,481",2013
Global Agriculture and Food Security Program,"128,165",-,-,-,-,-,-,-,-,-,-,-,-,"128,165",2013
Transfer to Multilateral Trust Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013
Middle East and North Africa Transition Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013
International Monetary Fund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013
Rescissions Foreign Operations,"-400,000",-,-,-,-,-,-,-,-,-,-,-,-,"-400,000",2013
,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/224071.pdf,,,,,,,,,,,,,,,
