Country ,Total,DA,GHCS-USAID,GHCS-State,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,MRA,FFP,Other*,Fiscal Year
Malawi,"145,944","27,596","63,600","36,448",-,-,-,-,300,-,-,-,"18,000",-,2010
Mali,"117,871","55,891","49,950","1,500",-,-,-,-,330,200,-,-,"10,000",-,2010
Mauritania,"6,312","1,199",-,-,-,-,-,-,113,-,-,-,"5,000",-,2010
Mauritius,300,150,-,-,-,-,-,-,150,-,-,-,-,-,2010
Mozambique,"386,915","38,107","64,175","261,953",-,-,300,"2,000",380,-,-,-,"20,000",-,2010
Namibia,"102,899",-,"1,950","100,809",-,-,-,-,140,-,-,-,-,-,2010
Niger,"16,973","1,973",-,-,-,-,-,-,-,-,-,-,"15,000",-,2010
Nigeria,"614,159","70,967","69,100","471,227",-,-,500,50,965,"1,350",-,-,-,-,2010
Republic of the Congo,125,-,-,-,-,-,-,-,125,-,-,-,-,-,2010
Rwanda,"208,172","45,900","37,500","124,072",-,-,-,-,500,200,-,-,-,-,2010
Sao Tome and Principe,180,-,-,-,-,-,-,-,180,-,-,-,-,-,2010
Senegal,"106,338","55,153","48,350","1,535",-,-,-,-,"1,000",300,-,-,-,-,2010
Seychelles,100,-,-,-,-,-,-,-,100,-,-,-,-,-,2010
Sierra Leone,"31,150",-,-,500,"18,000",-,250,-,400,-,-,-,"12,000",-,2010
Somalia,"133,820",-,"1,550",-,"28,270",-,-,"2,000",-,-,"102,000",-,-,-,2010
South Africa,"577,560","13,941","14,500","545,969",-,-,-,"1,500",850,800,-,-,-,-,2010
Sudan,"427,780",-,"30,010","7,036","296,034",-,"16,000","3,900",800,-,"44,000",-,"30,000",-,2010
Swaziland,"27,700",-,"6,900","20,700",-,-,-,-,100,-,-,-,-,-,2010
Tanzania,"463,979","43,150","83,525","336,254",-,-,450,-,400,200,-,-,-,-,2010
The Gambia,120,-,-,-,-,-,-,-,120,-,-,-,-,-,2010
Togo,235,95,-,-,-,-,-,-,140,-,-,-,-,-,2010
Uganda,"456,819","70,650","66,000","294,084",-,-,235,-,550,300,-,-,"25,000",-,2010
Zambia,"392,995","46,054","50,900","283,661",-,-,-,-,380,-,-,-,"12,000",-,2010
Zimbabwe,"89,030",-,"24,500","24,330","40,200",-,-,-,-,-,-,-,-,-,2010
African Union,"1,500",-,-,-,"1,500",-,-,-,-,-,-,-,-,-,2010
State Africa Regional,"65,803",-,-,-,"23,500",-,"4,500","21,303",-,"2,900","13,600",-,-,-,2010
Africa Regional,"159,979","130,205","19,774",-,"10,000",-,-,-,-,-,-,-,-,-,2010
Central Africa Regional,"20,500","20,500",-,-,-,-,-,-,-,-,-,-,-,-,2010
East Africa Regional,"56,378","46,793","9,585",-,-,-,-,-,-,-,-,-,-,-,2010
Southern Africa Regional,"28,127","26,127","2,000",-,-,-,-,-,-,-,-,-,-,-,2010
West Africa Regional,"97,242","83,212","14,030",-,-,-,-,-,-,-,-,-,-,-,2010
East Asia and Pacific,"776,004","240,824","128,520","106,968","178,900",-,"18,575","31,187","8,930","62,100",-,-,-,-,2010
Burma,"38,600",-,"2,100",-,"36,500",-,-,-,-,-,-,-,-,-,2010
Cambodia,"72,615","19,000","31,500","3,000","15,000",-,-,"3,015",100,"1,000",-,-,-,-,2010
China,"27,200","12,000","4,000","3,000","7,400",-,800,-,-,-,-,-,-,-,2010
Indonesia,"220,670","73,500","36,950","5,250","65,000",-,"11,570","6,650","1,750","20,000",-,-,-,-,2010
Laos,"7,613",513,"1,000",-,-,-,"1,000","5,000",100,-,-,-,-,-,2010
Malaysia,"2,300",-,-,-,-,-,-,"1,350",950,-,-,-,-,-,2010
Marshall Islands,560,500,-,-,-,-,-,-,60,-,-,-,-,-,2010
Micronesia,500,500,-,-,-,-,-,-,-,-,-,-,-,-,2010
Mongolia,"13,250","7,500",-,-,-,-,-,250,"1,000","4,500",-,-,-,-,2010
North Korea,"3,500",-,-,-,"3,500",-,-,-,-,-,-,-,-,-,2010
Papua New Guinea,"2,500",-,"2,500",-,-,-,-,-,-,-,-,-,-,-,2010
Philippines,"144,370","40,310","33,220",-,"30,000",-,"1,365","5,625","1,850","32,000",-,-,-,-,2010
Samoa,40,-,-,-,-,-,-,-,40,-,-,-,-,-,2010
Singapore,500,-,-,-,-,-,-,500,-,-,-,-,-,-,2010
Taiwan,575,-,-,-,-,-,-,575,-,-,-,-,-,-,2010
Thailand,"16,841","6,151","1,000",500,"2,500",-,"1,740","1,850","1,500","1,600",-,-,-,-,2010
Timor-Leste,"26,830","20,200","2,000",-,"3,000",-,800,-,330,500,-,-,-,-,2010
Tonga,500,-,-,-,-,-,-,-,-,500,-,-,-,-,2010
Vietnam,"122,078","16,500",-,"94,978","4,000",-,-,"4,200",400,"2,000",-,-,-,-,2010
East Asia and Pacific Regional,"16,322",-,-,-,"12,000",-,"1,300","2,172",850,-,-,-,-,-,2010
Regional Development Mission-Asia (RDM/A),,,,,,,,,,,,,,,2010
,"58,640","44,150","14,250",240,-,-,-,-,-,-,-,-,-,-,2010
Europe and Eurasia,"866,510",-,"14,600","18,528","33,000","610,982",-,"21,340","30,205","137,855",-,-,-,-,2010
Albania,"28,600",-,-,-,-,"22,000",-,"2,650",950,"3,000",-,-,-,-,2010
Armenia,"45,600",-,400,-,-,"41,000",-,750,450,"3,000",-,-,-,-,2010
Azerbaijan,"28,115",-,"1,250",-,-,"22,000",-,965,900,"3,000",-,-,-,-,2010
Belarus,"15,000",-,-,-,-,"15,000",-,-,-,-,-,-,-,-,2010
Bosnia and Herzegovina,"43,100",-,-,-,-,"36,000",-,"2,100","1,000","4,000",-,-,-,-,2010
Bulgaria,"11,850",-,-,-,-,800,-,400,"1,650","9,000",-,-,-,-,2010
Croatia,"3,750",-,-,-,-,-,-,450,800,"2,500",-,-,-,-,2010
Cyprus,"11,000",-,-,-,"11,000",-,-,-,-,-,-,-,-,-,2010
Czech Republic,"7,900",-,-,-,-,-,-,-,"1,900","6,000",-,-,-,-,2010
Estonia,"3,600",-,-,-,-,-,-,-,"1,100","2,500",-,-,-,-,2010
Georgia,"78,950",-,-,850,-,"59,000",-,"1,300","1,800","16,000",-,-,-,-,2010
Greece,100,-,-,-,-,-,-,-,100,-,-,-,-,-,2010
Hungary,"2,000",-,-,-,-,-,-,-,"1,000","1,000",-,-,-,-,2010
Kosovo,"99,270",-,-,-,-,"95,000",-,"1,070",700,"2,500",-,-,-,-,2010
Latvia,"3,600",-,-,-,-,-,-,-,"1,100","2,500",-,-,-,-,2010
Lithuania,"3,800",-,-,-,-,-,-,-,"1,100","2,700",-,-,-,-,2010
Macedonia,"27,970",-,-,-,-,"22,000",-,"1,020",950,"4,000",-,-,-,-,2010
Malta,"1,005",-,-,-,-,-,-,400,150,455,-,-,-,-,2010
Moldova,"20,700",-,-,-,-,"19,000",-,290,660,750,-,-,-,-,2010
Montenegro,"10,600",-,-,-,-,"8,500",-,500,400,"1,200",-,-,-,-,2010
Poland,"49,200",-,-,-,-,-,-,-,"2,200","47,000",-,-,-,-,2010
Portugal,100,-,-,-,-,-,-,-,100,-,-,-,-,-,2010
Romania,"14,700",-,-,-,-,-,-,-,"1,700","13,000",-,-,-,-,2010
Russia,"71,595",-,"8,500","3,000",-,"59,000",-,"1,000",95,-,-,-,-,-,2010
Serbia,"51,900",-,-,-,-,"49,000",-,"1,000",900,"1,000",-,-,-,-,2010
Slovakia,"2,150",-,-,-,-,-,-,-,900,"1,250",-,-,-,-,2010
Slovenia,"1,200",-,-,-,-,-,-,-,700,500,-,-,-,-,2010
Turkey,"7,995",-,-,-,-,-,-,"2,995","5,000",-,-,-,-,-,2010
Ukraine,"123,078",-,"4,000","14,678",-,"89,000",-,"2,500","1,900","11,000",-,-,-,-,2010
Eurasia Regional,"44,741",-,450,-,"3,000","39,341",-,"1,950",-,-,-,-,-,-,2010
Europe Regional,"36,341",-,-,-,"2,000","34,341",-,-,-,-,-,-,-,-,2010
International Fund for Ireland,"17,000",-,-,-,"17,000",-,-,-,-,-,-,-,-,-,2010
Near East,"6,497,111","64,935","8,000",-,"1,625,900",-,"126,250","84,935","18,593","4,542,498","26,000",-,-,-,2010
Algeria,"2,610",710,-,-,-,-,-,950,950,-,-,-,-,-,2010
Bahrain,"20,800",-,-,-,-,-,-,"1,100",700,"19,000",-,-,-,-,2010
Egypt,"1,555,700",-,-,-,"250,000",-,"1,000","2,800","1,900","1,300,000",-,-,-,-,2010
Iraq,"414,800",-,-,-,"382,500",-,-,"30,300","2,000",-,-,-,-,-,2010
Israel,"2,775,000",-,-,-,-,-,-,-,-,"2,775,000",-,-,-,-,2010
Jordan,"692,950",-,-,-,"363,000",-,"1,500","24,650","3,800","300,000",-,-,-,-,2010
Kuwait,10,-,-,-,-,-,-,-,10,-,-,-,-,-,2010
Lebanon,"238,300",-,-,-,"109,000",-,"20,000","6,800","2,500","100,000",-,-,-,-,2010
Libya,780,-,-,-,-,-,-,300,330,150,-,-,-,-,2010
Morocco,"35,296","19,546",-,-,"3,000",-,750,"1,200","1,800","9,000",-,-,-,-,2010
Oman,"12,028",-,-,-,-,-,-,"1,655","1,525","8,848",-,-,-,-,2010
Qatar,10,-,-,-,-,-,-,-,10,-,-,-,-,-,2010
Saudi Arabia,208,-,-,-,-,-,-,200,8,-,-,-,-,-,2010
Tunisia,"22,150",-,-,-,"2,000",-,-,200,"1,950","18,000",-,-,-,-,2010
United Arab Emirates,240,-,-,-,-,-,-,230,10,-,-,-,-,-,2010
West Bank and Gaza,"495,900",-,-,-,"393,400",-,"100,000","2,500",-,-,-,-,-,-,2010
Yemen,"67,250","35,000","8,000",-,"5,000",-,"1,000","4,650","1,100","12,500",-,-,-,-,2010
Middle East Multilaterals (MEM),"1,000",-,-,-,"1,000",-,-,-,-,-,-,-,-,-,2010
Middle East Partnership Initiative (MEPI),,,,,,,,,,,,,,,2010
,"65,000",-,-,-,"65,000",-,-,-,-,-,-,-,-,-,2010
Middle East Regional Cooperation (MERC),,,,,,,,,,,,,,,2010
,"5,000",-,-,-,"5,000",-,-,-,-,-,-,-,-,-,2010
Multinational Force and Observers (MFO),,,,,,,,,,,,,,,2010
,"26,000",-,-,-,-,-,-,-,-,-,"26,000",-,-,-,2010
Near East Regional,"1,800",-,-,-,-,-,-,"1,800",-,-,-,-,-,-,2010
Near East Regional Democracy,"40,000",-,-,-,"40,000",-,-,-,-,-,-,-,-,-,2010
Trans-Sahara Counter-Terrorism Partnership (TSCTP),,,,,,,,,,,,,,,2010
,"13,600",-,-,-,"6,000",-,"2,000","5,600",-,-,-,-,-,-,2010
Middle East Regional (OMEP),"10,679","9,679",-,-,"1,000",-,-,-,-,-,-,-,-,-,2010
South and Central Asia,"5,119,693","112,788","285,799","24,164","3,329,567","130,650","763,050","97,395","13,480","301,300",-,-,"61,500",-,2010
Afghanistan,"2,759,649",-,"91,827",500,"2,003,567",-,"589,000","57,755","1,500",-,-,-,"15,500",-,2010
Bangladesh,"168,521","66,271","53,200",-,-,-,350,"4,200","1,000","1,500",-,-,"42,000",-,2010
India,"126,850","31,250","78,200","9,000",-,-,-,"3,200","1,200",-,-,-,"4,000",-,2010
Kazakhstan,"18,885",-,"2,200",600,-,"10,400",-,"1,900",785,"3,000",-,-,-,-,2010
Kyrgyz Republic,"53,765",-,"1,200",475,-,"46,000",-,"1,590","1,000","3,500",-,-,-,-,2010
Maldives,"1,195","1,000",-,-,-,-,-,-,195,-,-,-,-,-,2010
Nepal,"58,300",-,"25,000",-,"27,000",-,"3,700",900,900,800,-,-,-,-,2010
Pakistan,"1,806,872",-,"29,722",-,"1,292,000",-,"170,000","22,150","5,000","288,000",-,-,-,-,2010
Sri Lanka,"12,100","9,900",-,-,-,-,-,450,750,"1,000",-,-,-,-,2010
Tajikistan,"48,299",-,"1,450",524,-,"42,500",-,"1,725",600,"1,500",-,-,-,-,2010
Turkmenistan,"16,600",-,600,75,-,"12,500",-,"1,075",350,"2,000",-,-,-,-,2010
Uzbekistan,"12,040",-,"2,400",590,-,"8,250",-,600,200,-,-,-,-,-,2010
Central Asia Regional,"23,400",-,-,"12,400",-,"11,000",-,-,-,-,-,-,-,-,2010
South and Central Asia Regional,"8,850",-,-,-,"7,000",-,-,"1,850",-,-,-,-,-,-,2010
South Asia Regional,"4,367","4,367",-,-,-,-,-,-,-,-,-,-,-,-,2010
Western Hemisphere,"2,352,687","414,553","130,589","172,561","485,540",-,"701,364","18,135","16,455","352,990",-,-,"60,500",-,2010
Argentina,"1,500",-,-,-,-,-,300,300,900,-,-,-,-,-,2010
Belize,220,-,-,20,-,-,-,-,200,-,-,-,-,-,2010
Bolivia,"72,538","35,248","16,910",-,-,-,"20,000",-,380,-,-,-,-,-,2010
Brazil,"25,099","16,789","5,000","1,300",-,-,"1,000",400,610,-,-,-,-,-,2010
Chile,"1,950",-,-,-,-,-,-,450,900,600,-,-,-,-,2010
Colombia,"507,135",-,-,-,"201,790",-,"243,900","4,750","1,695","55,000",-,-,-,-,2010
Costa Rica,380,-,-,-,-,-,-,-,380,-,-,-,-,-,2010
Cuba,"20,000",-,-,-,"20,000",-,-,-,-,-,-,-,-,-,2010
Dominican Republic,"49,200","24,600","9,050","9,250",-,-,"4,450",-,850,"1,000",-,-,-,-,2010
Ecuador,"30,163","24,783",-,-,-,-,"4,500",-,380,500,-,-,-,-,2010
El Salvador,"31,164","23,904","5,490",20,-,-,-,-,"1,750",-,-,-,-,-,2010
Guatemala,"86,626","38,726","14,600",-,-,-,"7,500",-,800,-,-,-,"25,000",-,2010
Guyana,"22,034","4,809",-,"16,525",-,-,-,-,300,400,-,-,-,-,2010
Haiti,"363,217",-,"22,800","121,240","160,750",-,"21,107",-,220,"1,600",-,-,"35,500",-,2010
Honduras,"50,191","37,491","11,000","1,000",-,-,-,-,700,-,-,-,-,-,2010
Jamaica,"10,509","7,559","1,200",300,-,-,-,-,750,700,-,-,-,-,2010
Mexico,"582,658","10,000","3,458",-,"15,000",-,"284,000","3,900","1,050","265,250",-,-,-,-,2010
Nicaragua,"35,041","27,344","5,900",897,-,-,-,-,900,-,-,-,-,-,2010
Panama,"7,320","6,420",-,-,-,-,-,150,750,-,-,-,-,-,2010
Paraguay,"11,787","8,287","2,100",-,-,-,500,-,400,500,-,-,-,-,2010
Peru,"119,764","63,334","11,240",50,-,-,"40,000","2,000",650,"2,490",-,-,-,-,2010
Suriname,660,-,-,-,-,-,-,-,260,400,-,-,-,-,2010
The Bahamas,350,-,-,-,-,-,-,-,200,150,-,-,-,-,2010
Trinidad and Tobago,570,-,-,-,-,-,-,-,170,400,-,-,-,-,2010
Uruguay,"1,150",-,-,-,-,-,-,200,450,500,-,-,-,-,2010
Venezuela,"6,000",-,-,-,"6,000",-,-,-,-,-,-,-,-,-,2010
Barbados and Eastern Caribbean,"38,078","14,818","5,750","14,700",-,-,-,-,810,"2,000",-,-,-,-,2010
Western Hemisphere Regional,"183,592",-,-,-,"82,000",-,"74,107","5,985",-,"21,500",-,-,-,-,2010
Central America Regional,"29,348","17,786","5,391","6,171",-,-,-,-,-,-,-,-,-,-,2010
Latin America and Caribbean Regional,,,,,,,,,,,,,,,2010
,"57,959","51,471","5,400","1,088",-,-,-,-,-,-,-,-,-,-,2010
South America Regional,"6,484","1,184","5,300",-,-,-,-,-,-,-,-,-,-,-,2010
Asia Middle East Regional,"58,506","52,356","5,500",650,-,-,-,-,-,-,-,-,-,-,2010
Bureau for Food Security,"19,810","19,810",-,-,-,-,-,-,-,-,-,-,-,-,2010
,,,,,,,,,,,,,,,2010
"Democracy, Conflict, and Humanitarian Assistance (DCHA)",,,,,,,,,,,,,,,2010
,"2,456,438","110,438","13,000",-,"37,500",-,-,-,-,-,-,-,"1,295,500","1,000,000",2010
"Democracy, Human Rights and Labor (DRL)",,,,,,,,,,,,,,,2010
,"70,500",-,-,-,500,-,-,-,-,-,-,-,-,"70,000",2010
Economic Growth Agriculture and Trade (EGAT),,,,,,,,,,,,,,,2010
,"280,334","280,334",-,-,-,-,-,-,-,-,-,-,-,-,2010
Office to Monitor and Combat Trafficking In Persons (G/TIP),,,,,,,,,,,,,,,2010
,"21,262",-,-,-,"12,000",-,"9,262",-,-,-,-,-,-,-,2010
Global Health,"316,742",-,"316,742",-,-,-,-,-,-,-,-,-,-,-,2010
International Partnerships,"422,045",-,"422,045",-,-,-,-,-,-,-,-,-,-,-,2010
International Narcotics and Law Enforcement Affairs (INL),,,,,,,,,,,,,,,2010
,"193,961",-,-,-,-,-,"193,961",-,-,-,-,-,-,-,2010
International Organizations,"394,000",-,-,-,-,-,-,-,-,-,-,-,-,"394,000",2010
International Security and Nonproliferation (ISN),,,,,,,,,,,,,,,2010
,"262,485",-,-,-,-,-,-,"262,485",-,-,-,-,-,-,2010
,,,,,,,,,,,,,,,2010
Multilateral Food Security Programs,"66,600","66,600",-,-,-,-,-,-,-,-,-,-,-,-,2010
Office of Development Partners (ODP),,,,,,,,,,,,,,,2010
,"56,637","56,637",-,-,-,-,-,-,-,-,-,-,-,-,2010
Oceans and International Environmental and Scientific Affairs (OES),,,,,,,,,,,,,,,2010
,,,,,,,,,,,,,,,2010
,"178,800",-,-,-,"178,800",-,-,-,-,-,-,-,-,-,2010
Political-Military Affairs (PM),"242,764",-,-,-,-,-,-,"65,295","5,105","54,464","117,900",-,-,-,2010
"Population, Refugees, and Migration (PRM)",,,,,,,,,,,,,,,2010
,"1,738,000",-,-,-,-,-,-,-,-,-,-,"1,693,000",-,"45,000",2010
Reserve,"77,651","19,395",-,-,"58,256",-,-,-,-,-,-,-,-,-,2010
Office of the Coordinator for Counterterrorism (S/CT),,,,,,,,,,,,,,,2010
,"125,175",-,-,-,-,-,-,"125,175",-,-,-,-,-,-,2010
Office of the Global AIDS Coordinator (S/GAC),,,,,,,,,,,,,,,2010
,"1,402,579",-,-,"1,402,579",-,-,-,-,-,-,-,-,-,-,2010
,,,,,,,,,,,,,,,2010
USAID Administrative Expenses,"1,662,300",-,-,-,-,-,-,-,-,-,-,-,-,"1,662,300",2010
Civilian Stabilization Initiative,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2010
USAID Capital Investment Fund,"185,000",-,-,-,-,-,-,-,-,-,-,-,-,"185,000",2010
USAID Development Credit Authority Admin,,,,,,,,,,,,,,,2010
,"8,600",-,-,-,-,-,-,-,-,-,-,-,-,"8,600",2010
USAID Inspector General Operating Expense,,,,,,,,,,,,,,,2010
,"49,900",-,-,-,-,-,-,-,-,-,-,-,-,"49,900",2010
USAID Operating Expense,"1,388,800",-,-,-,-,-,-,-,-,-,-,-,-,"1,388,800",2010
USAID Program Management Initiatives,,,,,,,,,,,,,,,2010
,"2,800","2,800",-,-,-,-,-,-,-,-,-,-,-,-,2010
Independent Agencies,"1,581,857",-,-,-,-,-,-,-,-,-,-,-,-,"1,581,857",2010
Peace Corps,"400,000",-,-,-,-,-,-,-,-,-,-,-,-,"400,000",2010
Millennium Challenge Corporation,"1,105,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,105,000",2010
Inter-American Foundation,"23,000",-,-,-,-,-,-,-,-,-,-,-,-,"23,000",2010
African Development Foundation,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2010
Treasury Technical Assistance,"25,000",-,-,-,-,-,-,-,-,-,-,-,-,"25,000",2010
Debt Restructuring,"60,000",-,-,-,-,-,-,-,-,-,-,-,-,"60,000",2010
Export-Import Bank,"2,380",-,-,-,-,-,-,-,-,-,-,-,-,"2,380",2010
Overseas Privat Investment Corporation (OPIC),,,,,,,,,,,,,,,2010
,"-202,700",-,-,-,-,-,-,-,-,-,-,-,-,"-202,700",2010
Trade and Development Agency,"55,200",-,-,-,-,-,-,-,-,-,-,-,-,"55,200",2010
International Trade Commission,"81,860",-,-,-,-,-,-,-,-,-,-,-,-,"81,860",2010
Foreign Claims Settlement Commission,,,,,,,,,,,,,,,2010
,"2,117",-,-,-,-,-,-,-,-,-,-,-,-,"2,117",2010
International Financial Institutions (IFIs),,,,,,,,,,,,,,,2010
,"2,043,670",-,-,-,-,-,-,-,-,-,-,-,-,"2,043,670",2010
Global Environment Facility (GEF),"86,500",-,-,-,-,-,-,-,-,-,-,-,-,"86,500",2010
,,,,,,,,,,,,,,,2010
International Clean Technology Fund,"300,000",-,-,-,-,-,-,-,-,-,-,-,-,"300,000",2010
International Development Associatione,,,,,,,,,,,,,,,2010
,"1,262,500",-,-,-,-,-,-,-,-,-,-,-,-,"1,262,500",2010
International Bank for Reconstruction and Development,,,,,,,,,,,,,,,2010
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
,,,,,,,,,,,,,,,2010
Inter-American Development Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
Enterprise for the Americas Multilateral Investment Fund,,,,,,,,,,,,,,,2010
,"25,000",-,-,-,-,-,-,-,-,-,-,-,-,"25,000",2010
Inter-American Investment Corporation,,,,,,,,,,,,,,,2010
,"4,670",-,-,-,-,-,-,-,-,-,-,-,-,"4,670",2010
Asian Development Fund,"105,000",-,-,-,-,-,-,-,-,-,-,-,-,"105,000",2010
African Development Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
African Development Fund,,-,-,-,-,-,-,-,-,-,-,-,-,"155,000",2010
,,,,,,,,,,,,,,,2010
European Bank of Reconstruction and Development (EBRD) Trust Fund,,,,,,,,,,,,,,,2010
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
European Bank of Reconstruction and Development,,,,,,,,,,,,,,,2010
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
International Fund for Agricultural Development,,,,,,,,,,,,,,,2010
,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,"30,000",2010
Multilateral Investment Guarantee Agnecy,,,,,,,,,,,,,,,2010
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
Asian Development Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
Global Agriculture and Food Security Program,,,,,,,,,,,,,,,2010
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
Strategic Climate Fund,"75,000",-,-,-,-,-,-,-,-,-,-,-,-,"75,000",2010
Multilateral Debt Relief Initiative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
,,,,,,,,,,,,,,,
http://www.state.gov/documents/organization/158269.pdf,,,,,,,,,,,,,,,
